2025/06/04 16:35:43 - simulation time 0.0000 (s) : === PMU Smart Grid DYNAMIC Collection Simulation Started ===
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Collection Mode: DYNAMIC WINDOWS (starts with first data arrival)
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Collection Window: 0.5 seconds from first PMU data
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Orchestrator: PmuTaskOrchestrator (Dynamic Data Collection)
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Network Model: PmuNetworkModel (Data-based transfers)
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Architecture: PMUs send measurement data → TSO waits for window → Grid analysis
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Edge Devices (PMUs): 30
2025/06/04 16:35:43 - simulation time 0.0000 (s) : Edge Datacenters: 7
2025/06/04 16:35:43 - simulation time 0.0000 (s) : TSO Cloud: TSO
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 25 [26/30] | Location (  663.0,  984.0) || Data ID:     26 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_3 (0.0023s, 163.8m) -> TELCO (0.0236s, 500.0m) -> TSO (0.0958s, 1415.6m) | Hop_Sum: 0.1217s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 21 [22/30] | Location (  287.0,  868.0) || Data ID:     22 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_3 (0.0000s, 250.6m) -> TELCO (0.0259s, 500.0m) -> TSO (0.0973s, 1415.6m) | Hop_Sum: 0.1232s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 24 [25/30] | Location (  279.0,  917.0) || Data ID:     25 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_3 (0.0034s, 236.1m) -> TELCO (0.0225s, 500.0m) -> TSO (0.0999s, 1415.6m) | Hop_Sum: 0.1258s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU:  6 [ 7/30] | Location ( 1029.0,  577.0) || Data ID:      7 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_2 (0.0170s, 477.3m) -> TELCO (0.0288s, 707.1m) -> TSO (0.0863s, 1415.6m) | Hop_Sum: 0.1321s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU:  1 [ 2/30] | Location (  630.0, 1589.0) || Data ID:      2 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_5 (0.0033s, 157.5m) -> TELCO (0.0318s, 707.1m) -> TSO (0.0992s, 1415.6m) | Hop_Sum: 0.1343s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU:  3 [ 4/30] | Location ( 1438.0, 1525.0) || Data ID:      4 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_6 (0.0023s, 66.9m) -> TELCO (0.0303s, 707.1m) -> TSO (0.1032s, 1415.6m) | Hop_Sum: 0.1358s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 28 [29/30] | Location ( 1513.0,  668.0) || Data ID:     29 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_2 (0.0030s, 168.5m) -> TELCO (0.0312s, 707.1m) -> TSO (0.1017s, 1415.6m) | Hop_Sum: 0.1359s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 15 [16/30] | Location (   80.0, 1193.0) || Data ID:     16 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_3 (0.0096s, 462.2m) -> TELCO (0.0248s, 500.0m) -> TSO (0.1018s, 1415.6m) | Hop_Sum: 0.1363s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 26 [27/30] | Location (  212.0,  699.0) || Data ID:     27 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_1 (0.0025s, 350.1m) -> TELCO (0.0327s, 707.1m) -> TSO (0.1010s, 1415.6m) | Hop_Sum: 0.1363s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 11 [12/30] | Location (  593.0,  557.0) || Data ID:     12 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_1 (0.0029s, 109.1m) -> TELCO (0.0288s, 707.1m) -> TSO (0.1057s, 1415.6m) | Hop_Sum: 0.1374s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU:  2 [ 3/30] | Location (  364.0,  988.0) || Data ID:      3 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_3 (0.0072s, 136.5m) -> TELCO (0.0249s, 500.0m) -> TSO (0.1058s, 1415.6m) | Hop_Sum: 0.1379s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 22 [23/30] | Location (  201.0, 1014.0) || Data ID:     23 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_3 (0.0099s, 299.3m) -> TELCO (0.0257s, 500.0m) -> TSO (0.1034s, 1415.6m) | Hop_Sum: 0.1390s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU:  0 [ 1/30] | Location (   25.0, 1383.0) || Data ID:      1 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_5 (0.0063s, 489.2m) -> TELCO (0.0294s, 707.1m) -> TSO (0.1040s, 1415.6m) | Hop_Sum: 0.1397s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU:  9 [10/30] | Location ( 1640.0,  884.0) || Data ID:     10 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_4 (0.0098s, 181.8m) -> TELCO (0.0256s, 500.0m) -> TSO (0.1060s, 1415.6m) | Hop_Sum: 0.1414s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 13 [14/30] | Location (  843.0, 1850.0) || Data ID:     14 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_5 (0.0072s, 490.0m) -> TELCO (0.0293s, 707.1m) -> TSO (0.1051s, 1415.6m) | Hop_Sum: 0.1416s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 10 [11/30] | Location (  800.0,  384.0) || Data ID:     11 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_1 (0.0114s, 321.6m) -> TELCO (0.0289s, 707.1m) -> TSO (0.1017s, 1415.6m) | Hop_Sum: 0.1419s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 14 [15/30] | Location ( 1632.0,  302.0) || Data ID:     15 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_2 (0.0104s, 238.0m) -> TELCO (0.0310s, 707.1m) -> TSO (0.1006s, 1415.6m) | Hop_Sum: 0.1420s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 23 [24/30] | Location ( 1483.0,  958.0) || Data ID:     24 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_4 (0.0039s, 45.3m) -> TELCO (0.0242s, 500.0m) -> TSO (0.1159s, 1415.6m) | Hop_Sum: 0.1440s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 12 [13/30] | Location (   97.0, 1990.0) || Data ID:     13 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_5 (0.0141s, 634.4m) -> TELCO (0.0326s, 707.1m) -> TSO (0.0987s, 1415.6m) | Hop_Sum: 0.1454s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 27 [28/30] | Location ( 1820.0,  483.0) || Data ID:     28 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_2 (0.0112s, 320.5m) -> TELCO (0.0313s, 707.1m) -> TSO (0.1044s, 1415.6m) | Hop_Sum: 0.1469s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU:  5 [ 6/30] | Location ( 1279.0,  898.0) || Data ID:      6 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_4 (0.0059s, 243.4m) -> TELCO (0.0267s, 500.0m) -> TSO (0.1158s, 1415.6m) | Hop_Sum: 0.1484s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU:  8 [ 9/30] | Location ( 1891.0,  379.0) || Data ID:      9 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_2 (0.0258s, 409.3m) -> TELCO (0.0301s, 707.1m) -> TSO (0.0925s, 1415.6m) | Hop_Sum: 0.1485s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 17 [18/30] | Location (  298.0, 1153.0) || Data ID:     18 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_3 (0.0116s, 253.4m) -> TELCO (0.0286s, 500.0m) -> TSO (0.1101s, 1415.6m) | Hop_Sum: 0.1503s |
2025/06/04 16:35:43 - simulation time 0.0010 (s) :   0.0000 | PMU: 19 [20/30] | Location (  222.0,  150.0) || Data ID:     20 | Data Size:   2.00 KB | Return:   0.00 KB || Source: PMU | Orchestrator: PMU | Destination: TSO || Path: PMU -> GNB_1 (0.0148s, 447.0m) -> TELCO (0.0324s, 707.1m) -> TSO (0.1032s, 1415.6m) | Hop_Sum: 0.1503s |
