Time,PmuID,PmuCoordinates,DataSize,Path,HopSum,Status
0.0000,25,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0022s, 110.1m)",0.0022,OK
0.0000,14,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0039s, 147.2m)",0.0039,OK
0.0000,27,"(1243.9,285.9)",2.00,"PMU -> GNB_2 (0.0107s, 333.8m)",0.0107,OK
0.0000,28,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0115s, 285.1m)",0.0115,OK
0.0000,0,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0135s, 409.6m)",0.0135,OK
0.0000,19,"(1910.1,143.3)",2.00,"PMU -> GNB_2 (0.0163s, 543.5m)",0.0163,OK
0.0000,29,"(577.1,1492.8)",2.00,"PMU -> GNB_5 (0.0023s, 77.4m)",0.0023,OK
0.0000,1,"(577.0,1763.6)",2.00,"PMU -> GNB_5 (0.0098s, 274.6m)",0.0098,OK
0.0000,24,"(910.6,1553.7)",2.00,"PMU -> GNB_5 (0.0121s, 414.1m)",0.0121,OK
0.0000,2,"(243.7,1959.7)",2.00,"PMU -> GNB_5 (0.0157s, 526.3m)",0.0157,OK
0.0000,4,"(243.5,1567.5)",2.00,"PMU -> GNB_5 (0.0190s, 265.2m)",0.0190,DEADLINE_MISSED
0.0000,5,"(910.2,1635.2)",2.00,"PMU -> GNB_5 (0.0207s, 431.9m)",0.0207,DEADLINE_MISSED
0.0000,10,"(1576.8,903.1)",2.00,"PMU -> GNB_4 (0.0033s, 123.6m)",0.0033,OK
0.0000,11,"(1909.4,970.9)",2.00,"PMU -> GNB_4 (0.0100s, 410.4m)",0.0100,OK
0.0000,7,"(1243.6,1099.7)",2.00,"PMU -> GNB_4 (0.0118s, 275.1m)",0.0118,OK
0.0000,3,"(1243.7,1228.4)",2.00,"PMU -> GNB_4 (0.0139s, 343.3m)",0.0139,OK
0.0000,13,"(576.6,577.8)",2.00,"PMU -> GNB_1 (0.0068s, 109.2m)",0.0068,OK
0.0000,18,"(577.5,75.5)",2.00,"PMU -> GNB_1 (0.0109s, 431.5m)",0.0109,OK
0.0000,8,"(243.4,638.8)",2.00,"PMU -> GNB_1 (0.0130s, 291.7m)",0.0130,OK
0.0000,6,"(243.6,231.9)",2.00,"PMU -> GNB_1 (0.0138s, 371.0m)",0.0138,OK
0.0000,22,"(910.7,346.8)",2.00,"PMU -> GNB_1 (0.0141s, 438.4m)",0.0141,OK
0.0000,9,"(910.1,706.6)",2.00,"PMU -> GNB_1 (0.0176s, 459.1m)",0.0176,OK
0.0000,20,"(1244.0,1682.2)",2.00,"PMU -> GNB_6 (0.0024s, 314.2m)",0.0024,OK
0.0000,26,"(1577.3,1418.0)",2.00,"PMU -> GNB_6 (0.0051s, 112.7m)",0.0051,OK
