Time,PmuID,PmuCoordinates,DataSize,Path,HopSum,Status
0.0000,14,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0000s, 147.2m)",0.0000,OK
0.0000,0,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0038s, 409.6m)",0.0038,OK
0.0000,27,"(1243.9,285.9)",2.00,"PMU -> GNB_2 (0.0080s, 333.8m)",0.0080,OK
0.0000,25,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0118s, 110.1m)",0.0118,OK
0.0000,28,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0162s, 285.1m)",0.0162,OK
0.0000,19,"(1910.1,143.3)",2.00,"PMU -> GNB_2 (0.0190s, 543.5m)",0.0190,OK
0.0000,29,"(577.1,1492.8)",2.00,"PMU -> GNB_5 (0.0014s, 77.4m)",0.0014,OK
0.0000,4,"(243.5,1567.5)",2.00,"PMU -> GNB_5 (0.0096s, 265.2m)",0.0096,OK
0.0000,1,"(577.0,1763.6)",2.00,"PMU -> GNB_5 (0.0098s, 274.6m)",0.0098,OK
0.0000,24,"(910.6,1553.7)",2.00,"PMU -> GNB_5 (0.0148s, 414.1m)",0.0148,OK
0.0000,2,"(243.7,1959.7)",2.00,"PMU -> GNB_5 (0.0154s, 526.3m)",0.0154,OK
0.0000,5,"(910.2,1635.2)",2.00,"PMU -> GNB_5 (0.0210s, 431.9m)",0.0210,OK
0.0000,10,"(1576.8,903.1)",2.00,"PMU -> GNB_4 (0.0033s, 123.6m)",0.0033,OK
0.0000,3,"(1243.7,1228.4)",2.00,"PMU -> GNB_4 (0.0163s, 343.3m)",0.0163,OK
0.0000,7,"(1243.6,1099.7)",2.00,"PMU -> GNB_4 (0.0193s, 275.1m)",0.0193,OK
0.0000,11,"(1909.4,970.9)",2.00,"PMU -> GNB_4 (0.0203s, 410.4m)",0.0203,OK
0.0000,13,"(576.6,577.8)",2.00,"PMU -> GNB_1 (0.0000s, 109.2m)",0.0000,OK
0.0000,6,"(243.6,231.9)",2.00,"PMU -> GNB_1 (0.0088s, 371.0m)",0.0088,OK
0.0000,22,"(910.7,346.8)",2.00,"PMU -> GNB_1 (0.0098s, 438.4m)",0.0098,OK
0.0000,9,"(910.1,706.6)",2.00,"PMU -> GNB_1 (0.0159s, 459.1m)",0.0159,OK
0.0000,8,"(243.4,638.8)",2.00,"PMU -> GNB_1 (0.0203s, 291.7m)",0.0203,OK
0.0000,18,"(577.5,75.5)",2.00,"PMU -> GNB_1 (0.0283s, 431.5m)",0.0283,OK
0.0000,26,"(1577.3,1418.0)",2.00,"PMU -> GNB_6 (0.0109s, 112.7m)",0.0109,OK
0.0000,20,"(1244.0,1682.2)",2.00,"PMU -> GNB_6 (0.0111s, 314.2m)",0.0111,OK
0.0000,21,"(1909.9,1749.8)",2.00,"PMU -> GNB_6 (0.0134s, 480.1m)",0.0134,OK
0.0000,16,"(1910.1,1411.1)",2.00,"PMU -> GNB_6 (0.0135s, 419.6m)",0.0135,OK
0.0000,12,"(1576.6,1709.8)",2.00,"PMU -> GNB_6 (0.0154s, 223.3m)",0.0154,OK
0.0000,17,"(577.4,1078.9)",2.00,"PMU -> GNB_3 (0.0007s, 110.6m)",0.0007,OK
0.0000,15,"(243.3,842.2)",2.00,"PMU -> GNB_3 (0.0046s, 301.3m)",0.0046,OK
0.0000,23,"(910.7,814.6)",2.00,"PMU -> GNB_3 (0.0199s, 450.6m)",0.0199,OK
1.0000,14,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0083s, 147.2m)",0.0083,OK
1.0000,28,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0110s, 285.1m)",0.0110,OK
1.0000,0,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0152s, 409.6m)",0.0152,OK
1.0000,25,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0156s, 110.1m)",0.0156,OK
