Time,TaskID,GNBID,Window,Coverage,BatchType,InputDataKB,OutputDataKB,MaxLatency,ComputationMI,WaitTime,ExecTime,NetTime,TotalTime,Status,PDCWaitingTime,SuccessFlag
0.1885,10015,2,Window_0.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0190,1
0.1885,10030,5,Window_0.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0196,1
0.1885,10011,4,Window_0.000,4/4,COMPLETE,8.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0171,1
0.1885,10014,1,Window_0.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0283,1
0.1885,10027,6,Window_0.000,5/5,COMPLETE,10.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0045,1
0.1885,10018,3,Window_0.000,3/3,COMPLETE,6.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0192,1
1.1885,11105,2,Window_1.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0118,1
1.1885,11120,5,Window_1.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0232,1
1.1885,11102,4,Window_1.000,4/4,COMPLETE,8.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0125,1
1.1885,11099,1,Window_1.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0148,1
1.1885,11117,6,Window_1.000,5/5,COMPLETE,10.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0084,1
1.1885,11108,3,Window_1.000,3/3,COMPLETE,6.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0169,1
2.1885,12206,2,Window_2.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0140,1
2.1885,12182,5,Window_2.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0156,1
2.1885,12184,4,Window_2.000,4/4,COMPLETE,8.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0115,1
2.1885,12194,1,Window_2.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0156,1
2.1885,12193,6,Window_2.000,5/5,COMPLETE,10.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0185,1
2.1885,12198,3,Window_2.000,3/3,COMPLETE,6.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0092,1
3.1885,13299,2,Window_3.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0130,1
3.1885,13275,5,Window_3.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0113,1
3.1885,13281,4,Window_3.000,4/4,COMPLETE,8.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0165,1
3.1885,13284,1,Window_3.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0212,1
3.1885,13297,6,Window_3.000,5/5,COMPLETE,10.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0123,1
3.1885,13288,3,Window_3.000,3/3,COMPLETE,6.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0049,1
4.1885,14386,2,Window_4.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0218,1
4.1885,14365,5,Window_4.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0169,1
4.1885,14368,4,Window_4.000,4/4,COMPLETE,8.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0071,1
4.1885,14374,1,Window_4.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0176,1
4.1885,14373,6,Window_4.000,5/5,COMPLETE,10.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0256,1
4.1885,14378,3,Window_4.000,3/3,COMPLETE,6.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0104,1
5.1885,15476,2,Window_5.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0178,1
5.1885,15452,5,Window_5.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0149,1
5.1885,15461,4,Window_5.000,4/4,COMPLETE,8.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0092,1
5.1885,15464,1,Window_5.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0137,1
5.1885,15477,6,Window_5.000,5/5,COMPLETE,10.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0190,1
5.1885,15466,3,Window_5.000,3/3,COMPLETE,6.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0111,1
6.1885,16541,2,Window_6.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0142,1
6.1885,16570,5,Window_6.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0181,1
6.1885,16551,4,Window_6.000,4/4,COMPLETE,8.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0142,1
6.1885,16549,1,Window_6.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0189,1
6.1885,16567,6,Window_6.000,5/5,COMPLETE,10.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0182,1
6.1885,16558,3,Window_6.000,3/3,COMPLETE,6.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0171,1
7.1885,17656,2,Window_7.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0210,1
7.1885,17660,5,Window_7.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0127,1
7.1885,17641,4,Window_7.000,4/4,COMPLETE,8.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0104,1
7.1885,17644,1,Window_7.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0148,1
7.1885,17657,6,Window_7.000,5/5,COMPLETE,10.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0167,1
7.1885,17648,3,Window_7.000,3/3,COMPLETE,6.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0143,1
8.1885,18748,2,Window_8.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0197,1
8.1885,18726,5,Window_8.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0109,1
8.1885,18731,4,Window_8.000,4/4,COMPLETE,8.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0148,1
8.1885,18734,1,Window_8.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0228,1
8.1885,18747,6,Window_8.000,5/5,COMPLETE,10.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0113,1
8.1885,18738,3,Window_8.000,3/3,COMPLETE,6.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0028,1
9.1885,19836,2,Window_9.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0155,1
9.1885,19840,5,Window_9.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0251,1
9.1885,19821,4,Window_9.000,4/4,COMPLETE,8.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0186,1
9.1885,19824,1,Window_9.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0170,1
9.1885,19823,6,Window_9.000,5/5,COMPLETE,10.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0128,1
9.1885,19826,3,Window_9.000,3/3,COMPLETE,6.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0048,1
10.1885,20915,2,Window_10.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0200,1
10.1885,20905,5,Window_10.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0133,1
10.1885,20911,4,Window_10.000,4/4,COMPLETE,8.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0098,1
10.1885,20909,1,Window_10.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0134,1
10.1885,20927,6,Window_10.000,5/5,COMPLETE,10.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0193,1
10.1885,20918,3,Window_10.000,3/3,COMPLETE,6.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0186,1
11.1885,22018,2,Window_11.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0174,1
11.1885,21992,5,Window_11.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0161,1
11.1885,22001,4,Window_11.000,4/4,COMPLETE,8.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0168,1
11.1885,22004,1,Window_11.000,6/6,COMPLETE,12.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0158,1
11.1885,22011,6,Window_11.000,5/5,COMPLETE,10.00,50.00,2.00,15000,0.0000,0.1875,0.0000,0.1875,S,0.0116,1
