Time,TaskID,GNBID,Window,Coverage,BatchType,InputDataKB,OutputDataKB,MaxLatency,ComputationMI,WaitTime,ExecTime,NetTime,TotalTime,Status,PDCWaitingTime,SuccessFlag
0.0052,10026,3,Window_0.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0214,S,0.0061,1
0.0052,10003,6,Window_0.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0195,S,0.0117,1
0.0052,10011,5,Window_0.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0205,S,0.0150,1
0.0052,10020,2,Window_0.000,3/5,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0192,S,0.0150,1
0.0052,10014,1,Window_0.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0231,S,0.0150,1
0.0052,10025,4,Window_0.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0215,S,0.0142,1
1.0052,11099,3,Window_1.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0178,S,0.0072,1
1.0052,11111,6,Window_1.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0204,S,0.0150,1
1.0052,11101,5,Window_1.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0192,S,0.0150,1
1.0052,11108,2,Window_1.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0189,S,0.0059,1
1.0052,11097,1,Window_1.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0178,S,0.0112,1
1.0052,11115,4,Window_1.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0205,S,0.0116,1
2.0052,12206,3,Window_2.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0170,S,0.0128,1
2.0052,12199,6,Window_2.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0192,S,0.0150,1
2.0052,12191,5,Window_2.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0174,S,0.0126,1
