Time,PmuID,PmuCoordinates,DataSize,Path,HopSum,Status
0.0000,25,"(700.7,1226.4)",2.00,"PMU -> GNB_3 (0.0138s, 302.6m)",0.0138,OK
0.0000,8,"(33.6,1043.7)",2.00,"PMU -> GNB_3 (0.0159s, 468.4m)",0.0159,OK
0.0000,1,"(700.5,968.9)",2.00,"PMU -> GNB_3 (0.0160s, 202.9m)",0.0160,OK
0.0000,0,"(367.2,901.1)",2.00,"PMU -> GNB_3 (0.0175s, 165.6m)",0.0175,OK
0.0000,7,"(1700.3,1504.6)",2.00,"PMU -> GNB_6 (0.0011s, 200.4m)",0.0011,OK
0.0000,20,"(1367.5,1687.1)",2.00,"PMU -> GNB_6 (0.0035s, 229.3m)",0.0035,OK
0.0000,14,"(1366.9,1579.3)",2.00,"PMU -> GNB_6 (0.0072s, 155.0m)",0.0072,OK
0.0000,18,"(1034.4,1680.2)",2.00,"PMU -> GNB_6 (0.0084s, 499.3m)",0.0084,OK
0.0000,2,"(1700.5,1964.6)",2.00,"PMU -> GNB_6 (0.0115s, 506.0m)",0.0115,OK
0.0000,27,"(1034.1,1490.8)",2.00,"PMU -> GNB_6 (0.0205s, 466.0m)",0.0205,DEADLINE_MISSED
0.0000,3,"(700.5,1633.2)",2.00,"PMU -> GNB_5 (0.0059s, 240.8m)",0.0059,OK
0.0000,28,"(33.9,1429.9)",2.00,"PMU -> GNB_5 (0.0099s, 471.3m)",0.0099,OK
0.0000,10,"(367.0,1707.8)",2.00,"PMU -> GNB_5 (0.0110s, 246.7m)",0.0110,OK
0.0000,16,"(367.6,1416.0)",2.00,"PMU -> GNB_5 (0.0191s, 156.7m)",0.0191,OK
0.0000,11,"(33.6,1775.4)",2.00,"PMU -> GNB_5 (0.0195s, 541.6m)",0.0195,OK
0.0000,17,"(1700.8,283.9)",2.00,"PMU -> GNB_2 (0.0073s, 295.0m)",0.0073,OK
0.0000,19,"(1367.7,548.2)",2.00,"PMU -> GNB_2 (0.0129s, 140.8m)",0.0129,OK
0.0000,12,"(1366.8,114.9)",2.00,"PMU -> GNB_2 (0.0136s, 407.4m)",0.0136,OK
0.0000,4,"(1033.7,372.4)",2.00,"PMU -> GNB_2 (0.0137s, 483.4m)",0.0137,OK
0.0000,5,"(1700.2,440.2)",2.00,"PMU -> GNB_2 (0.0160s, 209.0m)",0.0160,OK
0.0000,15,"(366.8,447.1)",2.00,"PMU -> GNB_1 (0.0036s, 143.3m)",0.0036,OK
0.0000,23,"(367.6,19.5)",2.00,"PMU -> GNB_1 (0.0045s, 498.4m)",0.0045,OK
0.0000,6,"(700.4,636.8)",2.00,"PMU -> GNB_1 (0.0068s, 242.7m)",0.0068,OK
0.0000,21,"(34.2,555.1)",2.00,"PMU -> GNB_1 (0.0069s, 469.1m)",0.0069,OK
0.0000,9,"(700.2,311.5)",2.00,"PMU -> GNB_1 (0.0104s, 275.0m)",0.0104,OK
0.0000,13,"(33.4,182.8)",2.00,"PMU -> GNB_1 (0.0157s, 564.2m)",0.0157,OK
0.0000,22,"(1034.2,751.7)",2.00,"PMU -> GNB_4 (0.0060s, 527.8m)",0.0060,OK
0.0000,29,"(1367.3,1097.7)",2.00,"PMU -> GNB_4 (0.0105s, 164.8m)",0.0105,OK
0.0000,26,"(1700.7,1023.0)",2.00,"PMU -> GNB_4 (0.0150s, 202.0m)",0.0150,OK
0.0000,24,"(1034.1,1158.6)",2.00,"PMU -> GNB_4 (0.0160s, 492.2m)",0.0160,OK
1.0000,8,"(33.6,1043.7)",2.00,"PMU -> GNB_3 (0.0082s, 468.4m)",0.0082,OK
1.0000,1,"(700.5,968.9)",2.00,"PMU -> GNB_3 (0.0109s, 202.9m)",0.0109,OK
1.0000,25,"(700.7,1226.4)",2.00,"PMU -> GNB_3 (0.0132s, 302.6m)",0.0132,OK
1.0000,0,"(367.2,901.1)",2.00,"PMU -> GNB_3 (0.0174s, 165.6m)",0.0174,OK
1.0000,14,"(1366.9,1579.3)",2.00,"PMU -> GNB_6 (0.0027s, 155.0m)",0.0027,OK
1.0000,18,"(1034.4,1680.2)",2.00,"PMU -> GNB_6 (0.0043s, 499.3m)",0.0043,OK
1.0000,20,"(1367.5,1687.1)",2.00,"PMU -> GNB_6 (0.0050s, 229.3m)",0.0050,OK
1.0000,27,"(1034.1,1490.8)",2.00,"PMU -> GNB_6 (0.0087s, 466.0m)",0.0087,OK
1.0000,2,"(1700.5,1964.6)",2.00,"PMU -> GNB_6 (0.0096s, 506.0m)",0.0096,OK
1.0000,7,"(1700.3,1504.6)",2.00,"PMU -> GNB_6 (0.0098s, 200.4m)",0.0098,OK
1.0000,16,"(367.6,1416.0)",2.00,"PMU -> GNB_5 (0.0048s, 156.7m)",0.0048,OK
1.0000,28,"(33.9,1429.9)",2.00,"PMU -> GNB_5 (0.0063s, 471.3m)",0.0063,OK
1.0000,3,"(700.5,1633.2)",2.00,"PMU -> GNB_5 (0.0066s, 240.8m)",0.0066,OK
1.0000,11,"(33.6,1775.4)",2.00,"PMU -> GNB_5 (0.0128s, 541.6m)",0.0128,OK
1.0000,10,"(367.0,1707.8)",2.00,"PMU -> GNB_5 (0.0139s, 246.7m)",0.0139,OK
1.0000,5,"(1700.2,440.2)",2.00,"PMU -> GNB_2 (0.0087s, 209.0m)",0.0087,OK
1.0000,17,"(1700.8,283.9)",2.00,"PMU -> GNB_2 (0.0097s, 295.0m)",0.0097,OK
1.0000,4,"(1033.7,372.4)",2.00,"PMU -> GNB_2 (0.0104s, 483.4m)",0.0104,OK
1.0000,12,"(1366.8,114.9)",2.00,"PMU -> GNB_2 (0.0110s, 407.4m)",0.0110,OK
1.0000,19,"(1367.7,548.2)",2.00,"PMU -> GNB_2 (0.0122s, 140.8m)",0.0122,OK
1.0000,21,"(34.2,555.1)",2.00,"PMU -> GNB_1 (0.0060s, 469.1m)",0.0060,OK
1.0000,15,"(366.8,447.1)",2.00,"PMU -> GNB_1 (0.0077s, 143.3m)",0.0077,OK
1.0000,6,"(700.4,636.8)",2.00,"PMU -> GNB_1 (0.0109s, 242.7m)",0.0109,OK
1.0000,9,"(700.2,311.5)",2.00,"PMU -> GNB_1 (0.0126s, 275.0m)",0.0126,OK
1.0000,13,"(33.4,182.8)",2.00,"PMU -> GNB_1 (0.0141s, 564.2m)",0.0141,OK
1.0000,23,"(367.6,19.5)",2.00,"PMU -> GNB_1 (0.0158s, 498.4m)",0.0158,OK
1.0000,29,"(1367.3,1097.7)",2.00,"PMU -> GNB_4 (0.0058s, 164.8m)",0.0058,OK
1.0000,26,"(1700.7,1023.0)",2.00,"PMU -> GNB_4 (0.0111s, 202.0m)",0.0111,OK
1.0000,22,"(1034.2,751.7)",2.00,"PMU -> GNB_4 (0.0122s, 527.8m)",0.0122,OK
1.0000,24,"(1034.1,1158.6)",2.00,"PMU -> GNB_4 (0.0171s, 492.2m)",0.0171,OK
2.0000,0,"(367.2,901.1)",2.00,"PMU -> GNB_3 (0.0126s, 165.6m)",0.0126,OK
2.0000,1,"(700.5,968.9)",2.00,"PMU -> GNB_3 (0.0130s, 202.9m)",0.0130,OK
2.0000,25,"(700.7,1226.4)",2.00,"PMU -> GNB_3 (0.0166s, 302.6m)",0.0166,OK
2.0000,8,"(33.6,1043.7)",2.00,"PMU -> GNB_3 (0.0169s, 468.4m)",0.0169,OK
2.0000,2,"(1700.5,1964.6)",2.00,"PMU -> GNB_6 (0.0042s, 506.0m)",0.0042,OK
2.0000,27,"(1034.1,1490.8)",2.00,"PMU -> GNB_6 (0.0069s, 466.0m)",0.0069,OK
2.0000,20,"(1367.5,1687.1)",2.00,"PMU -> GNB_6 (0.0076s, 229.3m)",0.0076,OK
2.0000,18,"(1034.4,1680.2)",2.00,"PMU -> GNB_6 (0.0082s, 499.3m)",0.0082,OK
2.0000,7,"(1700.3,1504.6)",2.00,"PMU -> GNB_6 (0.0098s, 200.4m)",0.0098,OK
2.0000,14,"(1366.9,1579.3)",2.00,"PMU -> GNB_6 (0.0108s, 155.0m)",0.0108,OK
2.0000,3,"(700.5,1633.2)",2.00,"PMU -> GNB_5 (0.0018s, 240.8m)",0.0018,OK
2.0000,11,"(33.6,1775.4)",2.00,"PMU -> GNB_5 (0.0020s, 541.6m)",0.0020,OK
2.0000,10,"(367.0,1707.8)",2.00,"PMU -> GNB_5 (0.0077s, 246.7m)",0.0077,OK
2.0000,28,"(33.9,1429.9)",2.00,"PMU -> GNB_5 (0.0104s, 471.3m)",0.0104,OK
2.0000,16,"(367.6,1416.0)",2.00,"PMU -> GNB_5 (0.0111s, 156.7m)",0.0111,OK
2.0000,4,"(1033.7,372.4)",2.00,"PMU -> GNB_2 (0.0008s, 483.4m)",0.0008,OK
2.0000,5,"(1700.2,440.2)",2.00,"PMU -> GNB_2 (0.0042s, 209.0m)",0.0042,OK
2.0000,12,"(1366.8,114.9)",2.00,"PMU -> GNB_2 (0.0057s, 407.4m)",0.0057,OK
2.0000,19,"(1367.7,548.2)",2.00,"PMU -> GNB_2 (0.0133s, 140.8m)",0.0133,OK
2.0000,17,"(1700.8,283.9)",2.00,"PMU -> GNB_2 (0.0156s, 295.0m)",0.0156,OK
