NetworkLevel,TotalDataVolumeKB,TransferCount,AverageDataSizeKB
PMU_to_GNB,19998.000000,9999,2.000000
GNB_to_TELCO,19998.000000,9999,2.000000
TELCO_to_TSO,19998.000000,9999,2.000000
StateEstimation_Input,1994.000000,112,17.803571
StateEstimation_Output,5600.000000,112,50.000000
PMU_2,1000.000000,500,2.000000
PMU_12,1000.000000,500,2.000000
PMU_1,1000.000000,500,2.000000
PMU_13,1000.000000,500,2.000000
PMU_14,1000.000000,500,2.000000
PMU_0,998.000000,499,2.000000
PMU_15,1000.000000,500,2.000000
PMU_6,1000.000000,500,2.000000
PMU_16,1000.000000,500,2.000000
PMU_5,1000.000000,500,2.000000
PMU_17,1000.000000,500,2.000000
PMU_4,1000.000000,500,2.000000
PMU_18,1000.000000,500,2.000000
PMU_3,1000.000000,500,2.000000
PMU_19,1000.000000,500,2.000000
PMU_10,1000.000000,500,2.000000
PMU_11,1000.000000,500,2.000000
PMU_9,1000.000000,500,2.000000
PMU_8,1000.000000,500,2.000000
PMU_7,1000.000000,500,2.000000
GNB_1,4000.000000,2000,2.000000
GNB_2,3998.000000,1999,2.000000
GNB_3,1998.000000,999,2.000000
GNB_4,2668.000000,1334,2.000000
GNB_5,4004.000000,2002,2.000000
GNB_6,3330.000000,1665,2.000000
PMU_LAYER_TOTAL,19998.000000,9999,2.000000
GNB_LAYER_TOTAL,19998.000000,9999,2.000000
TELCO,19998.000000,9999,2.000000
TSO,19998.000000,9999,2.000000
