Time,PmuID,PmuCoordinates,DataSize,Path,HopSum,Status
0.0000,1,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0133s, 409.6m) -> TELCO (0.0294s, 707.1m) -> TSO (0.0999s, 1415.6m)",0.1426,OK
0.0000,2,"(577.0,1763.6)",2.00,"PMU -> GNB_5 (0.0146s, 274.6m) -> TELCO (0.0288s, 707.1m) -> TSO (0.0968s, 1415.6m)",0.1402,OK
0.0000,3,"(243.7,1959.7)",2.00,"PMU -> GNB_5 (0.0241s, 526.3m) -> TELCO (0.0303s, 707.1m) -> TSO (0.1067s, 1415.6m)",0.1610,OK
0.0000,4,"(1243.7,1228.4)",2.00,"PMU -> GNB_4 (0.0110s, 343.3m) -> TELCO (0.0263s, 500.0m) -> TSO (0.1005s, 1415.6m)",0.1377,OK
0.0000,5,"(243.5,1567.5)",2.00,"PMU -> GNB_5 (0.0143s, 265.2m) -> TELCO (0.0301s, 707.1m) -> TSO (0.1088s, 1415.6m)",0.1532,OK
0.0000,6,"(910.2,1635.2)",2.00,"PMU -> GNB_5 (0.0066s, 431.9m) -> TELCO (0.0356s, 707.1m) -> TSO (0.1045s, 1415.6m)",0.1468,OK
0.0000,7,"(243.6,231.9)",2.00,"PMU -> GNB_1 (0.0209s, 371.0m) -> TELCO (0.0328s, 707.1m) -> TSO (0.1096s, 1415.6m)",0.1634,OK
0.0000,8,"(1243.6,1099.7)",2.00,"PMU -> GNB_4 (0.0090s, 275.1m) -> TELCO (0.0282s, 500.0m) -> TSO (0.0983s, 1415.6m)",0.1355,OK
0.0000,9,"(243.4,638.8)",2.00,"PMU -> GNB_1 (0.0121s, 291.7m) -> TELCO (0.0308s, 707.1m) -> TSO (0.1113s, 1415.6m)",0.1542,OK
0.0000,10,"(910.1,706.6)",2.00,"PMU -> GNB_1 (0.0220s, 459.1m) -> TELCO (0.0344s, 707.1m) -> TSO (0.1042s, 1415.6m)",0.1605,OK
0.0000,11,"(1576.8,903.1)",2.00,"PMU -> GNB_4 (0.0033s, 123.6m) -> TELCO (0.0294s, 500.0m) -> TSO (0.1061s, 1415.6m)",0.1388,OK
0.0000,12,"(1909.4,970.9)",2.00,"PMU -> GNB_4 (0.0203s, 410.4m) -> TELCO (0.0227s, 500.0m) -> TSO (0.0944s, 1415.6m)",0.1374,OK
0.0000,13,"(1576.6,1709.8)",2.00,"PMU -> GNB_6 (0.0116s, 223.3m) -> TELCO (0.0330s, 707.1m) -> TSO (0.0986s, 1415.6m)",0.1432,OK
0.0000,14,"(576.6,577.8)",2.00,"PMU -> GNB_1 (0.0006s, 109.2m) -> TELCO (0.0335s, 707.1m) -> TSO (0.0886s, 1415.6m)",0.1227,OK
0.0000,15,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0060s, 147.2m) -> TELCO (0.0281s, 707.1m) -> TSO (0.1132s, 1415.6m)",0.1472,OK
0.0000,16,"(243.3,842.2)",2.00,"PMU -> GNB_3 (0.0151s, 301.3m) -> TELCO (0.0270s, 500.0m) -> TSO (0.0907s, 1415.6m)",0.1328,OK
0.0000,17,"(1910.1,1411.1)",2.00,"PMU -> GNB_6 (0.0143s, 419.6m) -> TELCO (0.0323s, 707.1m) -> TSO (0.1002s, 1415.6m)",0.1467,OK
0.0000,18,"(577.4,1078.9)",2.00,"PMU -> GNB_3 (0.0053s, 110.6m) -> TELCO (0.0260s, 500.0m) -> TSO (0.0890s, 1415.6m)",0.1203,OK
0.0000,19,"(577.5,75.5)",2.00,"PMU -> GNB_1 (0.0161s, 431.5m) -> TELCO (0.0314s, 707.1m) -> TSO (0.1019s, 1415.6m)",0.1494,OK
0.0000,0,"(1910.1,143.3)",2.00,"PMU -> GNB_2 (0.0174s, 543.5m) -> TELCO (0.0303s, 707.1m) -> TSO (0.1080s, 1415.6m)",0.1557,OK
0.0000,1,"(1244.0,1682.2)",2.00,"PMU -> GNB_6 (0.0128s, 314.2m) -> TELCO (0.0337s, 707.1m) -> TSO (0.0871s, 1415.6m)",0.1336,OK
0.0000,2,"(1909.9,1749.8)",2.00,"PMU -> GNB_6 (0.0152s, 480.1m) -> TELCO (0.0311s, 707.1m) -> TSO (0.0946s, 1415.6m)",0.1409,OK
0.0000,3,"(910.7,346.8)",2.00,"PMU -> GNB_1 (0.0195s, 438.4m) -> TELCO (0.0322s, 707.1m) -> TSO (0.0946s, 1415.6m)",0.1463,OK
0.0000,4,"(910.7,814.6)",2.00,"PMU -> GNB_3 (0.0202s, 450.6m) -> TELCO (0.0257s, 500.0m) -> TSO (0.1056s, 1415.6m)",0.1515,OK
0.0000,5,"(910.6,1553.7)",2.00,"PMU -> GNB_5 (0.0181s, 414.1m) -> TELCO (0.0323s, 707.1m) -> TSO (0.1081s, 1415.6m)",0.1585,OK
0.0000,6,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0040s, 110.1m) -> TELCO (0.0293s, 707.1m) -> TSO (0.0829s, 1415.6m)",0.1161,OK
0.0000,7,"(1577.3,1418.0)",2.00,"PMU -> GNB_6 (0.0096s, 112.7m) -> TELCO (0.0307s, 707.1m) -> TSO (0.0838s, 1415.6m)",0.1241,OK
0.0000,8,"(1243.9,285.9)",2.00,"PMU -> GNB_2 (0.0047s, 333.8m) -> TELCO (0.0329s, 707.1m) -> TSO (0.1110s, 1415.6m)",0.1486,OK
0.0000,9,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0126s, 285.1m) -> TELCO (0.0341s, 707.1m) -> TSO (0.1074s, 1415.6m)",0.1540,OK
0.0000,10,"(577.1,1492.8)",2.00,"PMU -> GNB_5 (0.0106s, 77.4m) -> TELCO (0.0306s, 707.1m) -> TSO (0.0968s, 1415.6m)",0.1381,OK
0.0000,25,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0040s, 110.1m) -> TELCO (0.0293s, 707.1m) -> TSO (0.0829s, 1415.6m)",0.1161,OK
0.0000,17,"(577.4,1078.9)",2.00,"PMU -> GNB_3 (0.0053s, 110.6m) -> TELCO (0.0260s, 500.0m) -> TSO (0.0890s, 1415.6m)",0.1203,OK
0.0000,13,"(576.6,577.8)",2.00,"PMU -> GNB_1 (0.0006s, 109.2m) -> TELCO (0.0335s, 707.1m) -> TSO (0.0886s, 1415.6m)",0.1227,OK
0.0000,26,"(1577.3,1418.0)",2.00,"PMU -> GNB_6 (0.0096s, 112.7m) -> TELCO (0.0307s, 707.1m) -> TSO (0.0838s, 1415.6m)",0.1241,OK
0.0000,15,"(243.3,842.2)",2.00,"PMU -> GNB_3 (0.0151s, 301.3m) -> TELCO (0.0270s, 500.0m) -> TSO (0.0907s, 1415.6m)",0.1328,DEADLINE_MISSED
0.0000,20,"(1244.0,1682.2)",2.00,"PMU -> GNB_6 (0.0128s, 314.2m) -> TELCO (0.0337s, 707.1m) -> TSO (0.0871s, 1415.6m)",0.1336,DEADLINE_MISSED
0.0000,7,"(1243.6,1099.7)",2.00,"PMU -> GNB_4 (0.0090s, 275.1m) -> TELCO (0.0282s, 500.0m) -> TSO (0.0983s, 1415.6m)",0.1355,DEADLINE_MISSED
0.0000,11,"(1909.4,970.9)",2.00,"PMU -> GNB_4 (0.0203s, 410.4m) -> TELCO (0.0227s, 500.0m) -> TSO (0.0944s, 1415.6m)",0.1374,DEADLINE_MISSED
0.0000,3,"(1243.7,1228.4)",2.00,"PMU -> GNB_4 (0.0110s, 343.3m) -> TELCO (0.0263s, 500.0m) -> TSO (0.1005s, 1415.6m)",0.1377,DEADLINE_MISSED
0.0000,29,"(577.1,1492.8)",2.00,"PMU -> GNB_5 (0.0106s, 77.4m) -> TELCO (0.0306s, 707.1m) -> TSO (0.0968s, 1415.6m)",0.1381,DEADLINE_MISSED
0.0000,10,"(1576.8,903.1)",2.00,"PMU -> GNB_4 (0.0033s, 123.6m) -> TELCO (0.0294s, 500.0m) -> TSO (0.1061s, 1415.6m)",0.1388,DEADLINE_MISSED
0.0000,1,"(577.0,1763.6)",2.00,"PMU -> GNB_5 (0.0146s, 274.6m) -> TELCO (0.0288s, 707.1m) -> TSO (0.0968s, 1415.6m)",0.1402,DEADLINE_MISSED
0.0000,21,"(1909.9,1749.8)",2.00,"PMU -> GNB_6 (0.0152s, 480.1m) -> TELCO (0.0311s, 707.1m) -> TSO (0.0946s, 1415.6m)",0.1409,DEADLINE_MISSED
0.0000,0,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0133s, 409.6m) -> TELCO (0.0294s, 707.1m) -> TSO (0.0999s, 1415.6m)",0.1426,DEADLINE_MISSED
0.0000,12,"(1576.6,1709.8)",2.00,"PMU -> GNB_6 (0.0116s, 223.3m) -> TELCO (0.0330s, 707.1m) -> TSO (0.0986s, 1415.6m)",0.1432,DEADLINE_MISSED
0.0000,22,"(910.7,346.8)",2.00,"PMU -> GNB_1 (0.0195s, 438.4m) -> TELCO (0.0322s, 707.1m) -> TSO (0.0946s, 1415.6m)",0.1463,DEADLINE_MISSED
0.0000,16,"(1910.1,1411.1)",2.00,"PMU -> GNB_6 (0.0143s, 419.6m) -> TELCO (0.0323s, 707.1m) -> TSO (0.1002s, 1415.6m)",0.1467,DEADLINE_MISSED
0.0000,5,"(910.2,1635.2)",2.00,"PMU -> GNB_5 (0.0066s, 431.9m) -> TELCO (0.0356s, 707.1m) -> TSO (0.1045s, 1415.6m)",0.1468,DEADLINE_MISSED
0.0000,14,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0060s, 147.2m) -> TELCO (0.0281s, 707.1m) -> TSO (0.1132s, 1415.6m)",0.1472,DEADLINE_MISSED
0.0000,27,"(1243.9,285.9)",2.00,"PMU -> GNB_2 (0.0047s, 333.8m) -> TELCO (0.0329s, 707.1m) -> TSO (0.1110s, 1415.6m)",0.1486,DEADLINE_MISSED
0.0000,18,"(577.5,75.5)",2.00,"PMU -> GNB_1 (0.0161s, 431.5m) -> TELCO (0.0314s, 707.1m) -> TSO (0.1019s, 1415.6m)",0.1494,DEADLINE_MISSED
0.0000,23,"(910.7,814.6)",2.00,"PMU -> GNB_3 (0.0202s, 450.6m) -> TELCO (0.0257s, 500.0m) -> TSO (0.1056s, 1415.6m)",0.1515,DEADLINE_MISSED
0.0000,4,"(243.5,1567.5)",2.00,"PMU -> GNB_5 (0.0143s, 265.2m) -> TELCO (0.0301s, 707.1m) -> TSO (0.1088s, 1415.6m)",0.1532,DEADLINE_MISSED
0.0000,28,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0126s, 285.1m) -> TELCO (0.0341s, 707.1m) -> TSO (0.1074s, 1415.6m)",0.1540,DEADLINE_MISSED
0.0000,8,"(243.4,638.8)",2.00,"PMU -> GNB_1 (0.0121s, 291.7m) -> TELCO (0.0308s, 707.1m) -> TSO (0.1113s, 1415.6m)",0.1542,DEADLINE_MISSED
0.0000,19,"(1910.1,143.3)",2.00,"PMU -> GNB_2 (0.0174s, 543.5m) -> TELCO (0.0303s, 707.1m) -> TSO (0.1080s, 1415.6m)",0.1557,DEADLINE_MISSED
0.0000,24,"(910.6,1553.7)",2.00,"PMU -> GNB_5 (0.0181s, 414.1m) -> TELCO (0.0323s, 707.1m) -> TSO (0.1081s, 1415.6m)",0.1585,DEADLINE_MISSED
0.0000,9,"(910.1,706.6)",2.00,"PMU -> GNB_1 (0.0220s, 459.1m) -> TELCO (0.0344s, 707.1m) -> TSO (0.1042s, 1415.6m)",0.1605,DEADLINE_MISSED
0.0000,2,"(243.7,1959.7)",2.00,"PMU -> GNB_5 (0.0241s, 526.3m) -> TELCO (0.0303s, 707.1m) -> TSO (0.1067s, 1415.6m)",0.1610,DEADLINE_MISSED
0.0000,6,"(243.6,231.9)",2.00,"PMU -> GNB_1 (0.0209s, 371.0m) -> TELCO (0.0328s, 707.1m) -> TSO (0.1096s, 1415.6m)",0.1634,DEADLINE_MISSED
0.3333,11,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0172s, 409.6m) -> TELCO (0.0307s, 707.1m) -> TSO (0.0929s, 1415.6m)",0.1409,OK
0.3333,12,"(577.0,1763.6)",2.00,"PMU -> GNB_5 (0.0075s, 274.6m) -> TELCO (0.0296s, 707.1m) -> TSO (0.0978s, 1415.6m)",0.1349,OK
0.3333,13,"(243.7,1959.7)",2.00,"PMU -> GNB_5 (0.0195s, 526.3m) -> TELCO (0.0293s, 707.1m) -> TSO (0.1166s, 1415.6m)",0.1653,OK
0.3333,14,"(1243.7,1228.4)",2.00,"PMU -> GNB_4 (0.0153s, 343.3m) -> TELCO (0.0249s, 500.0m) -> TSO (0.1030s, 1415.6m)",0.1432,OK
0.3333,15,"(243.5,1567.5)",2.00,"PMU -> GNB_5 (0.0108s, 265.2m) -> TELCO (0.0320s, 707.1m) -> TSO (0.1164s, 1415.6m)",0.1592,OK
0.3333,16,"(910.2,1635.2)",2.00,"PMU -> GNB_5 (0.0116s, 431.9m) -> TELCO (0.0314s, 707.1m) -> TSO (0.0976s, 1415.6m)",0.1406,OK
0.3333,17,"(243.6,231.9)",2.00,"PMU -> GNB_1 (0.0167s, 371.0m) -> TELCO (0.0316s, 707.1m) -> TSO (0.1096s, 1415.6m)",0.1580,OK
0.3333,18,"(1243.6,1099.7)",2.00,"PMU -> GNB_4 (0.0064s, 275.1m) -> TELCO (0.0260s, 500.0m) -> TSO (0.1148s, 1415.6m)",0.1472,OK
0.3333,19,"(243.4,638.8)",2.00,"PMU -> GNB_1 (0.0136s, 291.7m) -> TELCO (0.0314s, 707.1m) -> TSO (0.1028s, 1415.6m)",0.1478,OK
0.3333,0,"(910.1,706.6)",2.00,"PMU -> GNB_1 (0.0186s, 459.1m) -> TELCO (0.0345s, 707.1m) -> TSO (0.1059s, 1415.6m)",0.1590,OK
0.3333,1,"(1576.8,903.1)",2.00,"PMU -> GNB_4 (0.0023s, 123.6m) -> TELCO (0.0229s, 500.0m) -> TSO (0.0986s, 1415.6m)",0.1238,OK
0.3333,2,"(1909.4,970.9)",2.00,"PMU -> GNB_4 (0.0128s, 410.4m) -> TELCO (0.0264s, 500.0m) -> TSO (0.1064s, 1415.6m)",0.1457,OK
0.3333,3,"(1576.6,1709.8)",2.00,"PMU -> GNB_6 (0.0073s, 223.3m) -> TELCO (0.0312s, 707.1m) -> TSO (0.0874s, 1415.6m)",0.1259,OK
0.3333,4,"(576.6,577.8)",2.00,"PMU -> GNB_1 (0.0071s, 109.2m) -> TELCO (0.0284s, 707.1m) -> TSO (0.0871s, 1415.6m)",0.1226,OK
0.3333,5,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0135s, 147.2m) -> TELCO (0.0293s, 707.1m) -> TSO (0.1142s, 1415.6m)",0.1569,OK
0.3333,6,"(243.3,842.2)",2.00,"PMU -> GNB_3 (0.0072s, 301.3m) -> TELCO (0.0264s, 500.0m) -> TSO (0.1117s, 1415.6m)",0.1453,OK
0.3333,7,"(1910.1,1411.1)",2.00,"PMU -> GNB_6 (0.0114s, 419.6m) -> TELCO (0.0334s, 707.1m) -> TSO (0.1013s, 1415.6m)",0.1461,OK
0.3333,8,"(577.4,1078.9)",2.00,"PMU -> GNB_3 (0.0097s, 110.6m) -> TELCO (0.0221s, 500.0m) -> TSO (0.0933s, 1415.6m)",0.1252,OK
0.3333,9,"(577.5,75.5)",2.00,"PMU -> GNB_1 (0.0211s, 431.5m) -> TELCO (0.0341s, 707.1m) -> TSO (0.1140s, 1415.6m)",0.1692,OK
0.3333,10,"(1910.1,143.3)",2.00,"PMU -> GNB_2 (0.0115s, 543.5m) -> TELCO (0.0307s, 707.1m) -> TSO (0.1087s, 1415.6m)",0.1509,OK
0.3333,11,"(1244.0,1682.2)",2.00,"PMU -> GNB_6 (0.0124s, 314.2m) -> TELCO (0.0323s, 707.1m) -> TSO (0.1112s, 1415.6m)",0.1558,OK
0.3333,12,"(1909.9,1749.8)",2.00,"PMU -> GNB_6 (0.0263s, 480.1m) -> TELCO (0.0328s, 707.1m) -> TSO (0.1172s, 1415.6m)",0.1763,OK
0.3333,13,"(910.7,346.8)",2.00,"PMU -> GNB_1 (0.0171s, 438.4m) -> TELCO (0.0310s, 707.1m) -> TSO (0.1059s, 1415.6m)",0.1540,OK
0.3333,14,"(910.7,814.6)",2.00,"PMU -> GNB_3 (0.0070s, 450.6m) -> TELCO (0.0266s, 500.0m) -> TSO (0.1044s, 1415.6m)",0.1380,OK
0.3333,15,"(910.6,1553.7)",2.00,"PMU -> GNB_5 (0.0216s, 414.1m) -> TELCO (0.0317s, 707.1m) -> TSO (0.1034s, 1415.6m)",0.1568,OK
0.3333,16,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0005s, 110.1m) -> TELCO (0.0326s, 707.1m) -> TSO (0.1003s, 1415.6m)",0.1334,OK
0.3333,17,"(1577.3,1418.0)",2.00,"PMU -> GNB_6 (0.0125s, 112.7m) -> TELCO (0.0318s, 707.1m) -> TSO (0.1189s, 1415.6m)",0.1632,OK
0.3333,18,"(1243.9,285.9)",2.00,"PMU -> GNB_2 (0.0060s, 333.8m) -> TELCO (0.0308s, 707.1m) -> TSO (0.1018s, 1415.6m)",0.1386,OK
0.3333,19,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0163s, 285.1m) -> TELCO (0.0320s, 707.1m) -> TSO (0.0891s, 1415.6m)",0.1374,OK
0.3333,0,"(577.1,1492.8)",2.00,"PMU -> GNB_5 (0.0000s, 77.4m) -> TELCO (0.0338s, 707.1m) -> TSO (0.1138s, 1415.6m)",0.1476,OK
0.6667,1,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0146s, 409.6m) -> TELCO (0.0289s, 707.1m) -> TSO (0.0981s, 1415.6m)",0.1416,OK
