Time,TaskID,Window,Coverage,BatchType,InputDataKB,OutputDataKB,MaxLatency,ComputationMI,WaitTime,ExecTime,NetTime,TotalTime,Status,PDCWaitingTime,SuccessFlag
0.0077,10026,Window_0.000,4/30,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1378,S,0.0150,1
1.0077,11101,Window_1.000,9/30,TIMEOUT,18.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1463,S,0.0150,1
2.0077,12202,Window_2.000,6/30,TIMEOUT,12.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1429,S,0.0150,1
3.0077,13293,Window_3.000,12/30,TIMEOUT,24.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1500,S,0.0150,1
4.0077,14378,Window_4.000,1/30,TIMEOUT,2.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1312,S,0.0150,1
5.0077,15465,Window_5.000,17/30,TIMEOUT,34.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1523,S,0.0150,1
6.0077,16544,Window_6.000,3/30,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1379,S,0.0150,1
7.0077,17645,Window_7.000,5/30,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1400,S,0.0150,1
8.0077,18738,Window_8.000,3/30,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1388,S,0.0150,1
9.0077,19828,Window_9.000,11/30,TIMEOUT,22.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1491,S,0.0150,1
10.0077,20911,Window_10.000,7/30,TIMEOUT,14.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1454,S,0.0150,1
11.0077,22006,Window_11.000,7/30,TIMEOUT,14.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1464,S,0.0150,1
12.0077,23098,Window_12.000,17/30,TIMEOUT,34.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1529,S,0.0150,1
13.0077,24178,Window_13.000,7/30,TIMEOUT,14.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1457,S,0.0150,1
14.0077,25278,Window_14.000,3/30,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1363,S,0.0150,1
15.0077,26359,Window_15.000,20/30,TIMEOUT,40.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1569,S,0.0150,1
16.0077,27451,Window_16.000,11/30,TIMEOUT,22.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1493,S,0.0150,1
17.0077,28541,Window_17.000,10/30,TIMEOUT,20.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1505,S,0.0150,1
18.0077,29635,Window_18.000,12/30,TIMEOUT,24.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1497,S,0.0150,1
19.0077,30718,Window_19.000,10/30,TIMEOUT,20.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1484,S,0.0150,1
20.0077,31804,Window_20.000,9/30,TIMEOUT,18.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1495,S,0.0150,1
21.0077,32903,Window_21.000,7/30,TIMEOUT,14.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1441,S,0.0150,1
22.0077,34007,Window_22.000,10/30,TIMEOUT,20.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1452,S,0.0150,1
23.0077,35085,Window_23.000,1/30,TIMEOUT,2.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1353,S,0.0150,1
24.0077,36171,Window_24.000,11/30,TIMEOUT,22.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1463,S,0.0150,1
