Time,PmuID,PmuCoordinates,DataSize,Path,HopSum,Status
0.0000,11,"(1909.4,970.9)",2.00,"PMU -> GNB_4 (0.0076s, 410.4m) -> TELCO (0.0240s, 500.0m) -> TSO (0.0933s, 1415.6m)",0.1250,OK
0.0000,12,"(1576.6,1709.8)",2.00,"PMU -> GNB_6 (0.0003s, 223.3m) -> TELCO (0.0294s, 707.1m) -> TSO (0.0964s, 1415.6m)",0.1260,OK
0.0000,10,"(1576.8,903.1)",2.00,"PMU -> GNB_4 (0.0000s, 123.6m) -> TELCO (0.0224s, 500.0m) -> TSO (0.1053s, 1415.6m)",0.1277,OK
0.0000,17,"(577.4,1078.9)",2.00,"PMU -> GNB_3 (0.0029s, 110.6m) -> TELCO (0.0269s, 500.0m) -> TSO (0.1026s, 1415.6m)",0.1325,OK
0.0000,7,"(1243.6,1099.7)",2.00,"PMU -> GNB_4 (0.0043s, 275.1m) -> TELCO (0.0267s, 500.0m) -> TSO (0.1027s, 1415.6m)",0.1337,OK
0.0000,6,"(243.6,231.9)",2.00,"PMU -> GNB_1 (0.0151s, 371.0m) -> TELCO (0.0313s, 707.1m) -> TSO (0.0890s, 1415.6m)",0.1354,OK
0.0000,28,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0051s, 285.1m) -> TELCO (0.0330s, 707.1m) -> TSO (0.1016s, 1415.6m)",0.1397,OK
0.0000,9,"(910.1,706.6)",2.00,"PMU -> GNB_1 (0.0117s, 459.1m) -> TELCO (0.0346s, 707.1m) -> TSO (0.0945s, 1415.6m)",0.1408,OK
0.0000,21,"(1909.9,1749.8)",2.00,"PMU -> GNB_6 (0.0147s, 480.1m) -> TELCO (0.0331s, 707.1m) -> TSO (0.0933s, 1415.6m)",0.1411,OK
0.0000,14,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0093s, 147.2m) -> TELCO (0.0321s, 707.1m) -> TSO (0.1014s, 1415.6m)",0.1429,OK
0.0000,29,"(577.1,1492.8)",2.00,"PMU -> GNB_5 (0.0032s, 77.4m) -> TELCO (0.0318s, 707.1m) -> TSO (0.1079s, 1415.6m)",0.1429,OK
0.0000,26,"(1577.3,1418.0)",2.00,"PMU -> GNB_6 (0.0127s, 112.7m) -> TELCO (0.0308s, 707.1m) -> TSO (0.0997s, 1415.6m)",0.1433,OK
0.0000,13,"(576.6,577.8)",2.00,"PMU -> GNB_1 (0.0091s, 109.2m) -> TELCO (0.0309s, 707.1m) -> TSO (0.1036s, 1415.6m)",0.1436,OK
0.0000,3,"(1243.7,1228.4)",2.00,"PMU -> GNB_4 (0.0107s, 343.3m) -> TELCO (0.0272s, 500.0m) -> TSO (0.1062s, 1415.6m)",0.1441,OK
0.0000,23,"(910.7,814.6)",2.00,"PMU -> GNB_3 (0.0190s, 450.6m) -> TELCO (0.0263s, 500.0m) -> TSO (0.0988s, 1415.6m)",0.1441,OK
0.0000,24,"(910.6,1553.7)",2.00,"PMU -> GNB_5 (0.0155s, 414.1m) -> TELCO (0.0304s, 707.1m) -> TSO (0.0983s, 1415.6m)",0.1441,OK
0.0000,27,"(1243.9,285.9)",2.00,"PMU -> GNB_2 (0.0181s, 333.8m) -> TELCO (0.0305s, 707.1m) -> TSO (0.0967s, 1415.6m)",0.1453,OK
0.0000,16,"(1910.1,1411.1)",2.00,"PMU -> GNB_6 (0.0090s, 419.6m) -> TELCO (0.0308s, 707.1m) -> TSO (0.1061s, 1415.6m)",0.1459,OK
0.0000,19,"(1910.1,143.3)",2.00,"PMU -> GNB_2 (0.0121s, 543.5m) -> TELCO (0.0299s, 707.1m) -> TSO (0.1043s, 1415.6m)",0.1463,OK
0.0000,0,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0062s, 409.6m) -> TELCO (0.0321s, 707.1m) -> TSO (0.1094s, 1415.6m)",0.1477,OK
0.0000,25,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0082s, 110.1m) -> TELCO (0.0323s, 707.1m) -> TSO (0.1082s, 1415.6m)",0.1486,OK
0.0000,20,"(1244.0,1682.2)",2.00,"PMU -> GNB_6 (0.0153s, 314.2m) -> TELCO (0.0275s, 707.1m) -> TSO (0.1061s, 1415.6m)",0.1490,OK
0.0000,4,"(243.5,1567.5)",2.00,"PMU -> GNB_5 (0.0149s, 265.2m) -> TELCO (0.0335s, 707.1m) -> TSO (0.1010s, 1415.6m)",0.1493,OK
0.0000,15,"(243.3,842.2)",2.00,"PMU -> GNB_3 (0.0152s, 301.3m) -> TELCO (0.0261s, 500.0m) -> TSO (0.1084s, 1415.6m)",0.1498,OK
0.0000,18,"(577.5,75.5)",2.00,"PMU -> GNB_1 (0.0263s, 431.5m) -> TELCO (0.0292s, 707.1m) -> TSO (0.0961s, 1415.6m)",0.1517,OK
0.0000,2,"(243.7,1959.7)",2.00,"PMU -> GNB_5 (0.0212s, 526.3m) -> TELCO (0.0325s, 707.1m) -> TSO (0.0986s, 1415.6m)",0.1523,OK
