Time,TaskID,Window,Coverage,BatchType,InputDataKB,OutputDataKB,MaxLatency,ComputationMI,WaitTime,ExecTime,NetTime,TotalTime,Status,PDCWaitingTime,SuccessFlag
0.1010,10025,Window_0.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0437,1
1.1010,11101,Window_1.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0417,1
2.1010,12191,Window_2.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0419,1
3.1010,13283,Window_3.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0373,1
4.1010,14390,Window_4.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0386,1
5.1010,15468,Window_5.000,28/30,TIMEOUT,56.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
6.1010,16552,Window_6.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
7.1010,17641,Window_7.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0436,1
8.1010,18738,Window_8.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0439,1
9.1010,19823,Window_9.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
10.1010,20912,Window_10.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0345,1
11.1010,21999,Window_11.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0369,1
12.1010,23091,Window_12.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0403,1
13.1010,24174,Window_13.000,26/30,TIMEOUT,52.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
14.1010,25281,Window_14.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0440,1
15.1010,26354,Window_15.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0410,1
16.1010,27469,Window_16.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0436,1
17.1010,28541,Window_17.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0431,1
18.1010,29628,Window_18.000,27/30,TIMEOUT,54.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
19.1010,30721,Window_19.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0374,1
20.1010,31827,Window_20.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
21.1010,32895,Window_21.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
22.1010,33991,Window_22.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
23.1010,35085,Window_23.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0441,1
24.1010,36176,Window_24.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0387,1
25.1010,37266,Window_25.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
26.1010,38351,Window_26.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0441,1
27.1010,39448,Window_27.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0434,1
28.1010,40534,Window_28.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0371,1
29.1010,41628,Window_29.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0407,1
30.1010,42716,Window_30.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
31.1010,43794,Window_31.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0275,1
32.1010,44898,Window_32.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0419,1
33.1010,45981,Window_33.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0438,1
34.1010,47071,Window_34.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0423,1
35.1010,48168,Window_35.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0392,1
36.1010,49247,Window_36.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0437,1
37.1010,50357,Window_37.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0358,1
38.1010,51436,Window_38.000,27/30,TIMEOUT,54.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
39.1010,52524,Window_39.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0386,1
40.1010,53602,Window_40.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0422,1
41.1010,54701,Window_41.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0417,1
42.1010,55791,Window_42.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
43.1010,56897,Window_43.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0445,1
44.1010,57975,Window_44.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0397,1
45.1010,59061,Window_45.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0427,1
46.1010,60158,Window_46.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
47.1010,61256,Window_47.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
48.1010,62338,Window_48.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0329,1
49.1010,63421,Window_49.000,28/30,TIMEOUT,56.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
50.1010,64502,Window_50.000,30/30,COMPLETE,60.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0328,1
51.1010,65601,Window_51.000,29/30,TIMEOUT,58.00,50.00,2.00,15000,0.0000,0.1000,0.0000,0.1000,S,0.0450,1
