Time,PmuID,PmuCoordinates,DataSize,Path,HopSum,Status
0.0000,25,"(663.0,984.0)",2.00,"PMU -> GNB_3 (0.0023s, 163.8m) -> TELCO (0.0236s, 500.0m) -> TSO (0.0958s, 1415.6m)",0.1217,OK
0.0000,21,"(287.0,868.0)",2.00,"PMU -> GNB_3 (0.0000s, 250.6m) -> TELCO (0.0259s, 500.0m) -> TSO (0.0973s, 1415.6m)",0.1232,OK
0.0000,24,"(279.0,917.0)",2.00,"PMU -> GNB_3 (0.0034s, 236.1m) -> TELCO (0.0225s, 500.0m) -> TSO (0.0999s, 1415.6m)",0.1258,OK
0.0000,6,"(1029.0,577.0)",2.00,"PMU -> GNB_2 (0.0170s, 477.3m) -> TELCO (0.0288s, 707.1m) -> TSO (0.0863s, 1415.6m)",0.1321,OK
0.0000,1,"(630.0,1589.0)",2.00,"PMU -> GNB_5 (0.0033s, 157.5m) -> TELCO (0.0318s, 707.1m) -> TSO (0.0992s, 1415.6m)",0.1343,OK
0.0000,3,"(1438.0,1525.0)",2.00,"PMU -> GNB_6 (0.0023s, 66.9m) -> TELCO (0.0303s, 707.1m) -> TSO (0.1032s, 1415.6m)",0.1358,OK
0.0000,28,"(1513.0,668.0)",2.00,"PMU -> GNB_2 (0.0030s, 168.5m) -> TELCO (0.0312s, 707.1m) -> TSO (0.1017s, 1415.6m)",0.1359,OK
0.0000,15,"(80.0,1193.0)",2.00,"PMU -> GNB_3 (0.0096s, 462.2m) -> TELCO (0.0248s, 500.0m) -> TSO (0.1018s, 1415.6m)",0.1363,OK
0.0000,26,"(212.0,699.0)",2.00,"PMU -> GNB_1 (0.0025s, 350.1m) -> TELCO (0.0327s, 707.1m) -> TSO (0.1010s, 1415.6m)",0.1363,OK
0.0000,11,"(593.0,557.0)",2.00,"PMU -> GNB_1 (0.0029s, 109.1m) -> TELCO (0.0288s, 707.1m) -> TSO (0.1057s, 1415.6m)",0.1374,OK
0.0000,2,"(364.0,988.0)",2.00,"PMU -> GNB_3 (0.0072s, 136.5m) -> TELCO (0.0249s, 500.0m) -> TSO (0.1058s, 1415.6m)",0.1379,OK
0.0000,22,"(201.0,1014.0)",2.00,"PMU -> GNB_3 (0.0099s, 299.3m) -> TELCO (0.0257s, 500.0m) -> TSO (0.1034s, 1415.6m)",0.1390,OK
0.0000,0,"(25.0,1383.0)",2.00,"PMU -> GNB_5 (0.0063s, 489.2m) -> TELCO (0.0294s, 707.1m) -> TSO (0.1040s, 1415.6m)",0.1397,OK
0.0000,9,"(1640.0,884.0)",2.00,"PMU -> GNB_4 (0.0098s, 181.8m) -> TELCO (0.0256s, 500.0m) -> TSO (0.1060s, 1415.6m)",0.1414,OK
0.0000,13,"(843.0,1850.0)",2.00,"PMU -> GNB_5 (0.0072s, 490.0m) -> TELCO (0.0293s, 707.1m) -> TSO (0.1051s, 1415.6m)",0.1416,OK
0.0000,10,"(800.0,384.0)",2.00,"PMU -> GNB_1 (0.0114s, 321.6m) -> TELCO (0.0289s, 707.1m) -> TSO (0.1017s, 1415.6m)",0.1419,OK
0.0000,14,"(1632.0,302.0)",2.00,"PMU -> GNB_2 (0.0104s, 238.0m) -> TELCO (0.0310s, 707.1m) -> TSO (0.1006s, 1415.6m)",0.1420,OK
0.0000,23,"(1483.0,958.0)",2.00,"PMU -> GNB_4 (0.0039s, 45.3m) -> TELCO (0.0242s, 500.0m) -> TSO (0.1159s, 1415.6m)",0.1440,OK
0.0000,12,"(97.0,1990.0)",2.00,"PMU -> GNB_5 (0.0141s, 634.4m) -> TELCO (0.0326s, 707.1m) -> TSO (0.0987s, 1415.6m)",0.1454,OK
0.0000,27,"(1820.0,483.0)",2.00,"PMU -> GNB_2 (0.0112s, 320.5m) -> TELCO (0.0313s, 707.1m) -> TSO (0.1044s, 1415.6m)",0.1469,OK
0.0000,5,"(1279.0,898.0)",2.00,"PMU -> GNB_4 (0.0059s, 243.4m) -> TELCO (0.0267s, 500.0m) -> TSO (0.1158s, 1415.6m)",0.1484,OK
0.0000,8,"(1891.0,379.0)",2.00,"PMU -> GNB_2 (0.0258s, 409.3m) -> TELCO (0.0301s, 707.1m) -> TSO (0.0925s, 1415.6m)",0.1485,OK
0.0000,17,"(298.0,1153.0)",2.00,"PMU -> GNB_3 (0.0116s, 253.4m) -> TELCO (0.0286s, 500.0m) -> TSO (0.1101s, 1415.6m)",0.1503,OK
