Time,PmuID,PmuCoordinates,DataSize,GNB_Target,Path,HopSum,Status
0.0000,1,"(367.2,901.1)",2.00,GNB_3,"PMU -> GNB_3 (0.0007s, 165.6m) -> TELCO (0.0390s, 500.0m) -> TSO (0.0842s, 1415.6m)",0.1239,OK
0.0000,2,"(700.5,968.9)",2.00,GNB_3,"PMU -> GNB_3 (0.0075s, 202.9m) -> TELCO (0.0362s, 500.0m) -> TSO (0.0793s, 1415.6m)",0.1230,OK
0.0000,3,"(1700.5,1964.6)",2.00,GNB_6,"PMU -> GNB_6 (0.0055s, 506.0m) -> TELCO (0.0394s, 707.1m) -> TSO (0.0906s, 1415.6m)",0.1355,OK
0.0000,4,"(700.5,1633.2)",2.00,GNB_5,"PMU -> GNB_5 (0.0001s, 240.8m) -> TELCO (0.0413s, 707.1m) -> TSO (0.0697s, 1415.6m)",0.1111,OK
0.0000,5,"(1033.7,372.4)",2.00,GNB_2,"PMU -> GNB_2 (0.0094s, 483.4m) -> TELCO (0.0367s, 707.1m) -> TSO (0.0789s, 1415.6m)",0.1250,OK
0.0000,6,"(1700.2,440.2)",2.00,GNB_2,"PMU -> GNB_2 (0.0097s, 209.0m) -> TELCO (0.0370s, 707.1m) -> TSO (0.0814s, 1415.6m)",0.1281,OK
0.0000,7,"(700.4,636.8)",2.00,GNB_1,"PMU -> GNB_1 (0.0130s, 242.7m) -> TELCO (0.0375s, 707.1m) -> TSO (0.0819s, 1415.6m)",0.1324,OK
0.0000,8,"(1700.3,1504.6)",2.00,GNB_6,"PMU -> GNB_6 (0.0051s, 200.4m) -> TELCO (0.0395s, 707.1m) -> TSO (0.0718s, 1415.6m)",0.1163,OK
0.0000,9,"(33.6,1043.7)",2.00,GNB_3,"PMU -> GNB_3 (0.0111s, 468.4m) -> TELCO (0.0397s, 500.0m) -> TSO (0.0681s, 1415.6m)",0.1189,OK
0.0000,10,"(700.2,311.5)",2.00,GNB_1,"PMU -> GNB_1 (0.0017s, 275.0m) -> TELCO (0.0373s, 707.1m) -> TSO (0.0752s, 1415.6m)",0.1141,OK
0.0000,11,"(367.0,1707.8)",2.00,GNB_5,"PMU -> GNB_5 (0.0127s, 246.7m) -> TELCO (0.0357s, 707.1m) -> TSO (0.0710s, 1415.6m)",0.1194,OK
0.0000,12,"(33.6,1775.4)",2.00,GNB_5,"PMU -> GNB_5 (0.0000s, 541.6m) -> TELCO (0.0371s, 707.1m) -> TSO (0.0782s, 1415.6m)",0.1153,OK
0.0000,13,"(1366.8,114.9)",2.00,GNB_2,"PMU -> GNB_2 (0.0164s, 407.4m) -> TELCO (0.0366s, 707.1m) -> TSO (0.0739s, 1415.6m)",0.1269,OK
0.0000,14,"(33.4,182.8)",2.00,GNB_1,"PMU -> GNB_1 (0.0114s, 564.2m) -> TELCO (0.0360s, 707.1m) -> TSO (0.0732s, 1415.6m)",0.1206,OK
0.0000,15,"(1366.9,1579.3)",2.00,GNB_6,"PMU -> GNB_6 (0.0000s, 155.0m) -> TELCO (0.0441s, 707.1m) -> TSO (0.0737s, 1415.6m)",0.1177,OK
0.0000,16,"(366.8,447.1)",2.00,GNB_1,"PMU -> GNB_1 (0.0076s, 143.3m) -> TELCO (0.0333s, 707.1m) -> TSO (0.0647s, 1415.6m)",0.1056,OK
0.0000,17,"(367.6,1416.0)",2.00,GNB_5,"PMU -> GNB_5 (0.0108s, 156.7m) -> TELCO (0.0394s, 707.1m) -> TSO (0.0704s, 1415.6m)",0.1207,OK
0.0000,18,"(1700.8,283.9)",2.00,GNB_2,"PMU -> GNB_2 (0.0082s, 295.0m) -> TELCO (0.0397s, 707.1m) -> TSO (0.0842s, 1415.6m)",0.1321,OK
0.0000,19,"(1034.4,1680.2)",2.00,GNB_6,"PMU -> GNB_6 (0.0019s, 499.3m) -> TELCO (0.0378s, 707.1m) -> TSO (0.0896s, 1415.6m)",0.1292,OK
0.0000,0,"(1367.7,548.2)",2.00,GNB_2,"PMU -> GNB_2 (0.0000s, 140.8m) -> TELCO (0.0379s, 707.1m) -> TSO (0.0817s, 1415.6m)",0.1197,OK
0.0000,1,"(1367.5,1687.1)",2.00,GNB_6,"PMU -> GNB_6 (0.0181s, 229.3m) -> TELCO (0.0400s, 707.1m) -> TSO (0.0633s, 1415.6m)",0.1213,OK
0.0000,2,"(34.2,555.1)",2.00,GNB_1,"PMU -> GNB_1 (0.0130s, 469.1m) -> TELCO (0.0397s, 707.1m) -> TSO (0.0819s, 1415.6m)",0.1346,OK
0.0000,3,"(1034.2,751.7)",2.00,GNB_4,"PMU -> GNB_4 (0.0112s, 527.8m) -> TELCO (0.0380s, 500.0m) -> TSO (0.0792s, 1415.6m)",0.1284,OK
0.0000,4,"(367.6,19.5)",2.00,GNB_1,"PMU -> GNB_1 (0.0046s, 498.4m) -> TELCO (0.0406s, 707.1m) -> TSO (0.0862s, 1415.6m)",0.1314,OK
0.0000,5,"(1034.1,1158.6)",2.00,GNB_4,"PMU -> GNB_4 (0.0119s, 492.2m) -> TELCO (0.0343s, 500.0m) -> TSO (0.0724s, 1415.6m)",0.1186,OK
0.0000,6,"(700.7,1226.4)",2.00,GNB_3,"PMU -> GNB_3 (0.0087s, 302.6m) -> TELCO (0.0388s, 500.0m) -> TSO (0.0739s, 1415.6m)",0.1215,OK
0.0000,7,"(1700.7,1023.0)",2.00,GNB_4,"PMU -> GNB_4 (0.0003s, 202.0m) -> TELCO (0.0369s, 500.0m) -> TSO (0.0741s, 1415.6m)",0.1114,OK
