Time,TaskID,Window,Coverage,BatchType,InputDataKB,OutputDataKB,MaxLatency,ComputationMI,WaitTime,ExecTime,NetTime,TotalTime,Status,PDCWaitingTime,SuccessFlag
0.0077,10016,Window_0.000,12/30,TIMEOUT,24.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1273,S,0.0150,1
1.0077,11101,Window_1.000,4/30,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1200,S,0.0150,1
2.0077,12210,Window_2.000,11/30,TIMEOUT,22.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1249,S,0.0150,1
3.0077,13274,Window_3.000,13/30,TIMEOUT,26.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1262,S,0.0150,1
4.0077,14373,Window_4.000,12/30,TIMEOUT,24.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1296,S,0.0150,1
5.0077,15470,Window_5.000,7/30,TIMEOUT,14.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1248,S,0.0150,1
6.0077,16569,Window_6.000,14/30,TIMEOUT,28.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1264,S,0.0150,1
7.0077,17656,Window_7.000,9/30,TIMEOUT,18.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1280,S,0.0150,1
8.0077,18722,Window_8.000,14/30,TIMEOUT,28.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1292,S,0.0150,1
9.0077,19816,Window_9.000,5/30,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1189,S,0.0150,1
10.0077,20910,Window_10.000,12/30,TIMEOUT,24.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1273,S,0.0150,1
11.0077,22006,Window_11.000,17/30,TIMEOUT,34.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1318,S,0.0150,1
12.0077,23107,Window_12.000,13/30,TIMEOUT,26.00,50.00,2.00,1000,0.0000,0.0067,0.0000,0.1260,S,0.0150,1
