Time,TaskID,GNBID,Window,Coverage,BatchType,InputDataKB,OutputDataKB,MaxLatency,ComputationMI,WaitTime,ExecTime,NetTime,TotalTime,Status,PDCWaitingTime,SuccessFlag
0.0280,10015,2,Window_0.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0518,S,0.0155,1
0.0280,10003,5,Window_0.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0604,S,0.0155,1
0.0280,10008,4,Window_0.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0495,S,0.0155,1
0.0280,10023,1,Window_0.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0513,S,0.0128,1
0.0280,10013,6,Window_0.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0484,S,0.0074,1
0.0280,10018,3,Window_0.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0401,S,0.0051,1
1.0280,11116,2,Window_1.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0525,S,0.0155,1
1.0280,11092,5,Window_1.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0580,S,0.0155,1
1.0280,11102,4,Window_1.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0451,S,0.0061,1
1.0280,11097,1,Window_1.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0531,S,0.0155,1
1.0280,11107,6,Window_1.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0480,S,0.0077,1
1.0280,11106,3,Window_1.000,2/3,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0513,S,0.0155,1
2.0280,12208,2,Window_2.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0493,S,0.0152,1
2.0280,12186,5,Window_2.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0553,S,0.0155,1
2.0280,12192,4,Window_2.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0402,S,0.0075,1
2.0280,12203,1,Window_2.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0547,S,0.0155,1
2.0280,12207,6,Window_2.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0509,S,0.0119,1
2.0280,12198,3,Window_2.000,2/3,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0491,S,0.0155,1
3.0280,13298,2,Window_3.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0540,S,0.0155,1
3.0280,13300,5,Window_3.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0534,S,0.0144,1
3.0280,13274,4,Window_3.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0504,S,0.0155,1
3.0280,13277,1,Window_3.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0509,S,0.0116,1
3.0280,13287,6,Window_3.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0448,S,0.0063,1
3.0280,13294,3,Window_3.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0483,S,0.0125,1
4.0280,14380,2,Window_4.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0495,S,0.0155,1
4.0280,14362,5,Window_4.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0560,S,0.0127,1
4.0280,14372,4,Window_4.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0520,S,0.0155,1
4.0280,14369,1,Window_4.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0495,S,0.0155,1
4.0280,14373,6,Window_4.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0556,S,0.0150,1
4.0280,14376,3,Window_4.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0513,S,0.0146,1
5.0280,15465,2,Window_5.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0580,S,0.0155,1
5.0280,15452,5,Window_5.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0527,S,0.0119,1
5.0280,15458,4,Window_5.000,2/4,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0537,S,0.0155,1
5.0280,15459,1,Window_5.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0523,S,0.0113,1
5.0280,15477,6,Window_5.000,2/5,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0490,S,0.0155,1
5.0280,15466,3,Window_5.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0427,S,0.0040,1
6.0280,16555,2,Window_6.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0504,S,0.0142,1
6.0280,16543,5,Window_6.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0583,S,0.0155,1
6.0280,16544,4,Window_6.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0540,S,0.0155,1
6.0280,16550,1,Window_6.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0552,S,0.0155,1
6.0280,16562,6,Window_6.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0517,S,0.0115,1
6.0280,16556,3,Window_6.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0513,S,0.0125,1
7.0280,17659,2,Window_7.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0524,S,0.0155,1
7.0280,17660,5,Window_7.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0515,S,0.0155,1
7.0280,17634,4,Window_7.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0516,S,0.0155,1
7.0280,17640,1,Window_7.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0559,S,0.0155,1
7.0280,17647,6,Window_7.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0455,S,0.0095,1
7.0280,17654,3,Window_7.000,2/3,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0525,S,0.0155,1
8.0280,18749,2,Window_8.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0569,S,0.0138,1
8.0280,18745,5,Window_8.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0504,S,0.0155,1
8.0280,18731,4,Window_8.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0538,S,0.0117,1
8.0280,18730,1,Window_8.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0497,S,0.0128,1
8.0280,18741,6,Window_8.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0524,S,0.0155,1
8.0280,18736,3,Window_8.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0495,S,0.0154,1
9.0280,19838,2,Window_9.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0558,S,0.0155,1
9.0280,19835,5,Window_9.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0504,S,0.0133,1
9.0280,19818,4,Window_9.000,2/4,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0503,S,0.0155,1
9.0280,19820,1,Window_9.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0542,S,0.0155,1
9.0280,19832,6,Window_9.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0561,S,0.0155,1
9.0280,19826,3,Window_9.000,1/3,TIMEOUT,2.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0497,S,0.0155,1
10.0280,20920,2,Window_10.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0579,S,0.0139,1
10.0280,20902,5,Window_10.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0543,S,0.0155,1
10.0280,20904,4,Window_10.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0500,S,0.0107,1
10.0280,20923,1,Window_10.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0537,S,0.0155,1
10.0280,20913,6,Window_10.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0548,S,0.0132,1
10.0280,20918,3,Window_10.000,2/3,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0498,S,0.0155,1
11.0280,22010,2,Window_11.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0525,S,0.0155,1
11.0280,21993,5,Window_11.000,3/6,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0504,S,0.0155,1
11.0280,22001,4,Window_11.000,2/4,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0523,S,0.0155,1
11.0280,21997,1,Window_11.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0496,S,0.0155,1
11.0280,22007,6,Window_11.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0495,S,0.0093,1
11.0280,22014,3,Window_11.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0475,S,0.0067,1
12.0280,23108,2,Window_12.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0524,S,0.0155,1
12.0280,23085,5,Window_12.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0510,S,0.0153,1
12.0280,23091,4,Window_12.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0553,S,0.0146,1
12.0280,23089,1,Window_12.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0499,S,0.0114,1
12.0280,23107,6,Window_12.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0535,S,0.0155,1
12.0280,23096,3,Window_12.000,2/3,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0536,S,0.0155,1
13.0280,24199,2,Window_13.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0519,S,0.0143,1
13.0280,24173,5,Window_13.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0465,S,0.0073,1
13.0280,24181,4,Window_13.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0441,S,0.0140,1
13.0280,24184,1,Window_13.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0508,S,0.0111,1
13.0280,24197,6,Window_13.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0535,S,0.0147,1
13.0280,24188,3,Window_13.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0493,S,0.0134,1
14.0280,25286,2,Window_14.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0509,S,0.0155,1
14.0280,25263,5,Window_14.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0532,S,0.0155,1
14.0280,25272,4,Window_14.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0521,S,0.0143,1
14.0280,25279,1,Window_14.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0538,S,0.0155,1
14.0280,25277,6,Window_14.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0457,S,0.0060,1
14.0280,25278,3,Window_14.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0543,S,0.0135,1
15.0280,26376,2,Window_15.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0582,S,0.0155,1
