Metric,Value
=== PMU DATA TRANSFER STATISTICS ===,
Total Data Volume,6678.00 KB
,
=== AVERAGE HOP DELAY AND DISTANCE (PMU → GNB) ===,
Average Hop Delay,0.0069s
Average Distance,316.1m
Total PMU-GNB Connections,30
,
=== PMU DATA MISSED DEADLINE SUMMARY ===,
PMU Data that Missed Deadline,469/3339 (14.05%)
,
=== DETAILED TRANSFERS PER PMU ===,
PMU_00 → GNB_5,93/111 transfers on time (83.8%) - avg transfer delay: 0.0349s
PMU_01 → GNB_2,96/112 transfers on time (85.7%) - avg transfer delay: 0.0346s
PMU_02 → GNB_5,94/112 transfers on time (83.9%) - avg transfer delay: 0.0339s
PMU_03 → GNB_5,97/112 transfers on time (86.6%) - avg transfer delay: 0.0349s
PMU_04 → GNB_4,95/112 transfers on time (84.8%) - avg transfer delay: 0.0330s
PMU_05 → GNB_5,94/112 transfers on time (83.9%) - avg transfer delay: 0.0345s
PMU_06 → GNB_5,98/112 transfers on time (87.5%) - avg transfer delay: 0.0342s
PMU_07 → GNB_1,101/112 transfers on time (90.2%) - avg transfer delay: 0.0325s
PMU_08 → GNB_4,105/112 transfers on time (93.8%) - avg transfer delay: 0.0297s
PMU_09 → GNB_1,80/112 transfers on time (71.4%) - avg transfer delay: 0.0367s
PMU_10 → GNB_1,95/111 transfers on time (85.6%) - avg transfer delay: 0.0347s
PMU_11 → GNB_4,99/111 transfers on time (89.2%) - avg transfer delay: 0.0303s
PMU_12 → GNB_4,100/111 transfers on time (90.1%) - avg transfer delay: 0.0323s
PMU_13 → GNB_6,101/111 transfers on time (91.0%) - avg transfer delay: 0.0328s
PMU_14 → GNB_1,97/111 transfers on time (87.4%) - avg transfer delay: 0.0347s
PMU_15 → GNB_2,102/111 transfers on time (91.9%) - avg transfer delay: 0.0312s
PMU_16 → GNB_3,108/111 transfers on time (97.3%) - avg transfer delay: 0.0283s
PMU_17 → GNB_6,102/111 transfers on time (91.9%) - avg transfer delay: 0.0331s
PMU_18 → GNB_3,103/111 transfers on time (92.8%) - avg transfer delay: 0.0297s
PMU_19 → GNB_1,85/111 transfers on time (76.6%) - avg transfer delay: 0.0363s
PMU_20 → GNB_2,91/111 transfers on time (82.0%) - avg transfer delay: 0.0359s
PMU_21 → GNB_6,87/111 transfers on time (78.4%) - avg transfer delay: 0.0363s
PMU_22 → GNB_6,94/111 transfers on time (84.7%) - avg transfer delay: 0.0338s
PMU_23 → GNB_1,96/111 transfers on time (86.5%) - avg transfer delay: 0.0336s
PMU_24 → GNB_3,88/111 transfers on time (79.3%) - avg transfer delay: 0.0341s
PMU_25 → GNB_5,90/111 transfers on time (81.1%) - avg transfer delay: 0.0352s
PMU_26 → GNB_2,104/111 transfers on time (93.7%) - avg transfer delay: 0.0322s
PMU_27 → GNB_6,90/111 transfers on time (81.1%) - avg transfer delay: 0.0342s
PMU_28 → GNB_2,88/111 transfers on time (79.3%) - avg transfer delay: 0.0352s
PMU_29 → GNB_2,97/111 transfers on time (87.4%) - avg transfer delay: 0.0334s
,
=== GNB SUMMARY LOGS ===,
GNB_1,554/668 transfers on time (82.9%) from 6 PMUs - avg PDC waiting time: 0.0144s - avg TotalTime: 0.0534s
GNB_2,578/667 transfers on time (86.7%) from 6 PMUs - avg PDC waiting time: 0.0142s - avg TotalTime: 0.0531s
GNB_3,299/333 transfers on time (89.8%) from 3 PMUs - avg PDC waiting time: 0.0105s - avg TotalTime: 0.0481s
GNB_4,399/446 transfers on time (89.5%) from 4 PMUs - avg PDC waiting time: 0.0121s - avg TotalTime: 0.0497s
GNB_5,566/670 transfers on time (84.5%) from 6 PMUs - avg PDC waiting time: 0.0143s - avg TotalTime: 0.0534s
GNB_6,474/555 transfers on time (85.4%) from 5 PMUs - avg PDC waiting time: 0.0137s - avg TotalTime: 0.0525s
,
,
=== GRID ANALYSIS TASK STATISTICS ===,
Total Tasks,670
Successful Tasks,670
Failed Tasks,0
Success Rate,100.00%
,
=== EXECUTION TIME (Successful tasks only) ===,
Average Execution Time,0.0125s
Minimum Execution Time,0.0125s
Maximum Execution Time,0.0125s
Standard Deviation,0.0000s
,
=== TOTAL PROCESSING TIME ===,
Average Total Processing Time,0.0517s
,
=== BATCH INFORMATION ===,
Complete Batches,329
Timeout Batches,341
Complete Batch Rate,49.10%
Average PDC Waiting Time,0.0132s
