NetworkLevel,TotalDataVolumeKB,TransferCount,AverageDataSizeKB
PMU_to_GNB,6678.000000,3339,2.000000
GNB_to_TELCO,6678.000000,3339,2.000000
TELCO_to_GNB,6678.000000,3339,2.000000
StateEstimation_Input,5784.000000,670,8.632836
StateEstimation_Output,33500.000000,670,50.000000
PMU_23,222.000000,111,2.000000
PMU_24,222.000000,111,2.000000
PMU_25,222.000000,111,2.000000
PMU_26,222.000000,111,2.000000
PMU_27,222.000000,111,2.000000
PMU_28,222.000000,111,2.000000
PMU_29,222.000000,111,2.000000
PMU_20,222.000000,111,2.000000
PMU_21,222.000000,111,2.000000
PMU_22,222.000000,111,2.000000
PMU_2,224.000000,112,2.000000
PMU_12,222.000000,111,2.000000
PMU_1,224.000000,112,2.000000
PMU_13,222.000000,111,2.000000
PMU_0,222.000000,111,2.000000
PMU_14,222.000000,111,2.000000
PMU_15,222.000000,111,2.000000
PMU_6,224.000000,112,2.000000
PMU_16,222.000000,111,2.000000
PMU_5,224.000000,112,2.000000
PMU_17,222.000000,111,2.000000
PMU_4,224.000000,112,2.000000
PMU_18,222.000000,111,2.000000
PMU_3,224.000000,112,2.000000
PMU_19,222.000000,111,2.000000
PMU_10,222.000000,111,2.000000
PMU_11,222.000000,111,2.000000
PMU_9,224.000000,112,2.000000
PMU_8,224.000000,112,2.000000
PMU_7,224.000000,112,2.000000
GNB_1,1336.000000,668,2.000000
GNB_2,1334.000000,667,2.000000
GNB_3,666.000000,333,2.000000
GNB_4,892.000000,446,2.000000
GNB_5,1340.000000,670,2.000000
GNB_6,1110.000000,555,2.000000
PMU_LAYER_TOTAL,6678.000000,3339,2.000000
GNB_LAYER_TOTAL,6678.000000,3339,2.000000
TELCO,6678.000000,3339,2.000000
