Time,PmuID,PmuCoordinates,DataSize,Path,HopSum,Status
0.0000,1,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0003s, 409.6m) -> TELCO (0.0110s, 707.1m) -> GNB_2 (0.0115s, 707.1m)",0.0228,S
0.0000,29,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0076s, 285.1m) -> TELCO (0.0092s, 707.1m) -> GNB_2 (0.0116s, 707.1m)",0.0284,S
0.0000,15,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0020s, 147.2m) -> TELCO (0.0151s, 707.1m) -> GNB_2 (0.0134s, 707.1m)",0.0304,S
0.0000,26,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0163s, 110.1m) -> TELCO (0.0141s, 707.1m) -> GNB_2 (0.0123s, 707.1m)",0.0427,L
0.0000,28,"(1243.9,285.9)",2.00,"PMU -> GNB_2 (0.0128s, 333.8m) -> TELCO (0.0169s, 707.1m) -> GNB_2 (0.0159s, 707.1m)",0.0456,L
0.0000,20,"(1910.1,143.3)",2.00,"PMU -> GNB_2 (0.0288s, 543.5m) -> TELCO (0.0154s, 707.1m) -> GNB_2 (0.0120s, 707.1m)",0.0563,L
0.0000,25,"(910.6,1553.7)",2.00,"PMU -> GNB_5 (0.0019s, 414.1m) -> TELCO (0.0097s, 707.1m) -> GNB_5 (0.0106s, 707.1m)",0.0222,S
0.0000,6,"(910.2,1635.2)",2.00,"PMU -> GNB_5 (0.0000s, 431.9m) -> TELCO (0.0125s, 707.1m) -> GNB_5 (0.0102s, 707.1m)",0.0227,S
0.0000,5,"(243.5,1567.5)",2.00,"PMU -> GNB_5 (0.0003s, 265.2m) -> TELCO (0.0151s, 707.1m) -> GNB_5 (0.0132s, 707.1m)",0.0285,S
0.0000,3,"(243.7,1959.7)",2.00,"PMU -> GNB_5 (0.0028s, 526.3m) -> TELCO (0.0153s, 707.1m) -> GNB_5 (0.0149s, 707.1m)",0.0331,S
0.0000,0,"(577.1,1492.8)",2.00,"PMU -> GNB_5 (0.0063s, 77.4m) -> TELCO (0.0137s, 707.1m) -> GNB_5 (0.0158s, 707.1m)",0.0359,S
0.0000,2,"(577.0,1763.6)",2.00,"PMU -> GNB_5 (0.0139s, 274.6m) -> TELCO (0.0150s, 707.1m) -> GNB_5 (0.0145s, 707.1m)",0.0434,L
0.0000,4,"(1243.7,1228.4)",2.00,"PMU -> GNB_4 (0.0000s, 343.3m) -> TELCO (0.0092s, 500.0m) -> GNB_4 (0.0111s, 500.0m)",0.0203,S
0.0000,8,"(1243.6,1099.7)",2.00,"PMU -> GNB_4 (0.0014s, 275.1m) -> TELCO (0.0156s, 500.0m) -> GNB_4 (0.0126s, 500.0m)",0.0296,S
0.0000,12,"(1909.4,970.9)",2.00,"PMU -> GNB_4 (0.0166s, 410.4m) -> TELCO (0.0092s, 500.0m) -> GNB_4 (0.0133s, 500.0m)",0.0390,L
0.0000,11,"(1576.8,903.1)",2.00,"PMU -> GNB_4 (0.0150s, 123.6m) -> TELCO (0.0146s, 500.0m) -> GNB_4 (0.0112s, 500.0m)",0.0407,L
0.0000,19,"(577.5,75.5)",2.00,"PMU -> GNB_1 (0.0000s, 431.5m) -> TELCO (0.0115s, 707.1m) -> GNB_1 (0.0141s, 707.1m)",0.0256,S
0.0000,7,"(243.6,231.9)",2.00,"PMU -> GNB_1 (0.0000s, 371.0m) -> TELCO (0.0158s, 707.1m) -> GNB_1 (0.0115s, 707.1m)",0.0273,S
0.0000,14,"(576.6,577.8)",2.00,"PMU -> GNB_1 (0.0010s, 109.2m) -> TELCO (0.0146s, 707.1m) -> GNB_1 (0.0139s, 707.1m)",0.0295,S
0.0000,23,"(910.7,346.8)",2.00,"PMU -> GNB_1 (0.0084s, 438.4m) -> TELCO (0.0147s, 707.1m) -> GNB_1 (0.0131s, 707.1m)",0.0362,S
0.0000,10,"(910.1,706.6)",2.00,"PMU -> GNB_1 (0.0126s, 459.1m) -> TELCO (0.0119s, 707.1m) -> GNB_1 (0.0131s, 707.1m)",0.0376,S
0.0000,9,"(243.4,638.8)",2.00,"PMU -> GNB_1 (0.0209s, 291.7m) -> TELCO (0.0158s, 707.1m) -> GNB_1 (0.0137s, 707.1m)",0.0504,L
0.0000,17,"(1910.1,1411.1)",2.00,"PMU -> GNB_6 (0.0000s, 419.6m) -> TELCO (0.0141s, 707.1m) -> GNB_6 (0.0136s, 707.1m)",0.0277,S
0.0000,22,"(1909.9,1749.8)",2.00,"PMU -> GNB_6 (0.0038s, 480.1m) -> TELCO (0.0130s, 707.1m) -> GNB_6 (0.0142s, 707.1m)",0.0311,S
0.0000,27,"(1577.3,1418.0)",2.00,"PMU -> GNB_6 (0.0023s, 112.7m) -> TELCO (0.0163s, 707.1m) -> GNB_6 (0.0129s, 707.1m)",0.0315,S
0.0000,13,"(1576.6,1709.8)",2.00,"PMU -> GNB_6 (0.0031s, 223.3m) -> TELCO (0.0153s, 707.1m) -> GNB_6 (0.0156s, 707.1m)",0.0340,S
0.0000,21,"(1244.0,1682.2)",2.00,"PMU -> GNB_6 (0.0088s, 314.2m) -> TELCO (0.0126s, 707.1m) -> GNB_6 (0.0139s, 707.1m)",0.0353,S
0.0000,18,"(577.4,1078.9)",2.00,"PMU -> GNB_3 (0.0066s, 110.6m) -> TELCO (0.0108s, 500.0m) -> GNB_3 (0.0117s, 500.0m)",0.0291,S
0.0000,16,"(243.3,842.2)",2.00,"PMU -> GNB_3 (0.0112s, 301.3m) -> TELCO (0.0098s, 500.0m) -> GNB_3 (0.0148s, 500.0m)",0.0359,S
0.0000,24,"(910.7,814.6)",2.00,"PMU -> GNB_3 (0.0102s, 450.6m) -> TELCO (0.0130s, 500.0m) -> GNB_3 (0.0162s, 500.0m)",0.0394,S
1.0000,26,"(1577.2,421.5)",2.00,"PMU -> GNB_2 (0.0000s, 110.1m) -> TELCO (0.0150s, 707.1m) -> GNB_2 (0.0107s, 707.1m)",0.0257,S
1.0000,15,"(1576.7,374.4)",2.00,"PMU -> GNB_2 (0.0000s, 147.2m) -> TELCO (0.0158s, 707.1m) -> GNB_2 (0.0114s, 707.1m)",0.0272,S
1.0000,29,"(1243.8,624.9)",2.00,"PMU -> GNB_2 (0.0013s, 285.1m) -> TELCO (0.0142s, 707.1m) -> GNB_2 (0.0138s, 707.1m)",0.0293,S
1.0000,1,"(1909.6,496.2)",2.00,"PMU -> GNB_2 (0.0128s, 409.6m) -> TELCO (0.0145s, 707.1m) -> GNB_2 (0.0136s, 707.1m)",0.0409,S
1.0000,20,"(1910.1,143.3)",2.00,"PMU -> GNB_2 (0.0147s, 543.5m) -> TELCO (0.0139s, 707.1m) -> GNB_2 (0.0144s, 707.1m)",0.0430,L
1.0000,28,"(1243.9,285.9)",2.00,"PMU -> GNB_2 (0.0191s, 333.8m) -> TELCO (0.0132s, 707.1m) -> GNB_2 (0.0120s, 707.1m)",0.0443,L
1.0000,6,"(910.2,1635.2)",2.00,"PMU -> GNB_5 (0.0000s, 431.9m) -> TELCO (0.0150s, 707.1m) -> GNB_5 (0.0133s, 707.1m)",0.0283,S
1.0000,2,"(577.0,1763.6)",2.00,"PMU -> GNB_5 (0.0000s, 274.6m) -> TELCO (0.0166s, 707.1m) -> GNB_5 (0.0139s, 707.1m)",0.0305,S
1.0000,25,"(910.6,1553.7)",2.00,"PMU -> GNB_5 (0.0057s, 414.1m) -> TELCO (0.0147s, 707.1m) -> GNB_5 (0.0127s, 707.1m)",0.0331,S
1.0000,5,"(243.5,1567.5)",2.00,"PMU -> GNB_5 (0.0134s, 265.2m) -> TELCO (0.0147s, 707.1m) -> GNB_5 (0.0135s, 707.1m)",0.0416,S
1.0000,0,"(577.1,1492.8)",2.00,"PMU -> GNB_5 (0.0153s, 77.4m) -> TELCO (0.0154s, 707.1m) -> GNB_5 (0.0149s, 707.1m)",0.0456,L
1.0000,3,"(243.7,1959.7)",2.00,"PMU -> GNB_5 (0.0226s, 526.3m) -> TELCO (0.0127s, 707.1m) -> GNB_5 (0.0147s, 707.1m)",0.0500,L
1.0000,11,"(1576.8,903.1)",2.00,"PMU -> GNB_4 (0.0049s, 123.6m) -> TELCO (0.0125s, 500.0m) -> GNB_4 (0.0146s, 500.0m)",0.0320,S
1.0000,12,"(1909.4,970.9)",2.00,"PMU -> GNB_4 (0.0074s, 410.4m) -> TELCO (0.0136s, 500.0m) -> GNB_4 (0.0132s, 500.0m)",0.0342,S
1.0000,8,"(1243.6,1099.7)",2.00,"PMU -> GNB_4 (0.0099s, 275.1m) -> TELCO (0.0120s, 500.0m) -> GNB_4 (0.0130s, 500.0m)",0.0349,S
1.0000,4,"(1243.7,1228.4)",2.00,"PMU -> GNB_4 (0.0155s, 343.3m) -> TELCO (0.0150s, 500.0m) -> GNB_4 (0.0105s, 500.0m)",0.0409,S
1.0000,19,"(577.5,75.5)",2.00,"PMU -> GNB_1 (0.0067s, 431.5m) -> TELCO (0.0126s, 707.1m) -> GNB_1 (0.0149s, 707.1m)",0.0342,S
1.0000,23,"(910.7,346.8)",2.00,"PMU -> GNB_1 (0.0077s, 438.4m) -> TELCO (0.0142s, 707.1m) -> GNB_1 (0.0129s, 707.1m)",0.0348,S
1.0000,14,"(576.6,577.8)",2.00,"PMU -> GNB_1 (0.0125s, 109.2m) -> TELCO (0.0098s, 707.1m) -> GNB_1 (0.0167s, 707.1m)",0.0389,S
