Time,TaskID,GNBID,Window,Coverage,BatchType,InputDataKB,OutputDataKB,MaxLatency,ComputationMI,WaitTime,ExecTime,NetTime,TotalTime,Status,PDCWaitingTime,SuccessFlag
0.0280,10015,2,Window_0.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0494,S,0.0059,1
0.0280,10030,5,Window_0.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0519,S,0.0118,1
0.0280,10011,4,Window_0.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0484,S,0.0096,1
0.0280,10019,1,Window_0.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0605,S,0.0155,1
0.0280,10017,6,Window_0.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0490,S,0.0121,1
0.0280,10024,3,Window_0.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0529,S,0.0094,1
1.0280,11105,2,Window_1.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0559,S,0.0155,1
1.0280,11120,5,Window_1.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0598,S,0.0144,1
1.0280,11102,4,Window_1.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0407,S,0.0046,1
1.0280,11097,1,Window_1.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0541,S,0.0155,1
1.0280,11117,6,Window_1.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0497,S,0.0131,1
1.0280,11106,3,Window_1.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0411,S,0.0041,1
2.0280,12195,2,Window_2.000,2/6,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0528,S,0.0155,1
2.0280,12210,5,Window_2.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0550,S,0.0155,1
2.0280,12192,4,Window_2.000,2/4,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0498,S,0.0155,1
2.0280,12187,1,Window_2.000,3/6,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0562,S,0.0155,1
2.0280,12201,6,Window_2.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0479,S,0.0091,1
2.0280,12198,3,Window_2.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0489,S,0.0081,1
3.0280,13271,2,Window_3.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0551,S,0.0147,1
3.0280,13275,5,Window_3.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0522,S,0.0155,1
3.0280,13282,4,Window_3.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0389,S,0.0045,1
3.0280,13284,1,Window_3.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0570,S,0.0155,1
3.0280,13283,6,Window_3.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0550,S,0.0124,1
3.0280,13288,3,Window_3.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0460,S,0.0071,1
4.0280,14361,2,Window_4.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0596,S,0.0155,1
4.0280,14363,5,Window_4.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0568,S,0.0155,1
4.0280,14364,4,Window_4.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0531,S,0.0155,1
4.0280,14367,1,Window_4.000,2/6,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0527,S,0.0155,1
4.0280,14387,6,Window_4.000,3/5,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0560,S,0.0155,1
4.0280,14376,3,Window_4.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0493,S,0.0045,1
5.0280,15479,2,Window_5.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0542,S,0.0155,1
5.0280,15455,5,Window_5.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0578,S,0.0155,1
5.0280,15454,4,Window_5.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0439,S,0.0065,1
5.0280,15460,1,Window_5.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0561,S,0.0155,1
5.0280,15477,6,Window_5.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0477,S,0.0091,1
5.0280,15474,3,Window_5.000,3/3,COMPLETE,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0405,S,0.0073,1
6.0280,16560,2,Window_6.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0517,S,0.0115,1
6.0280,16565,5,Window_6.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0515,S,0.0155,1
6.0280,16551,4,Window_6.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0494,S,0.0155,1
6.0280,16547,1,Window_6.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0125,0.0000,0.0553,S,0.0155,1
