Time,PmuID,PmuCoordinates,DataSize,Path,HopSum,Status
0.0000,26,"(700.7,1226.4)",2.00,"PMU -> GNB_3 (0.0027s, 302.6m) -> TELCO (0.0349s, 500.0m) -> GNB_3 (0.0342s, 500.0m)",0.0718,S
0.0000,1,"(367.2,901.1)",2.00,"PMU -> GNB_3 (0.0000s, 165.6m) -> TELCO (0.0350s, 500.0m) -> GNB_3 (0.0399s, 500.0m)",0.0749,S
0.0000,9,"(33.6,1043.7)",2.00,"PMU -> GNB_3 (0.0095s, 468.4m) -> TELCO (0.0377s, 500.0m) -> GNB_3 (0.0374s, 500.0m)",0.0846,S
0.0000,2,"(700.5,968.9)",2.00,"PMU -> GNB_3 (0.0141s, 202.9m) -> TELCO (0.0395s, 500.0m) -> GNB_3 (0.0356s, 500.0m)",0.0892,L
0.0000,21,"(1367.5,1687.1)",2.00,"PMU -> GNB_6 (0.0079s, 229.3m) -> TELCO (0.0358s, 707.1m) -> GNB_6 (0.0377s, 707.1m)",0.0814,S
0.0000,28,"(1034.1,1490.8)",2.00,"PMU -> GNB_6 (0.0089s, 466.0m) -> TELCO (0.0369s, 707.1m) -> GNB_6 (0.0370s, 707.1m)",0.0827,S
0.0000,15,"(1366.9,1579.3)",2.00,"PMU -> GNB_6 (0.0045s, 155.0m) -> TELCO (0.0414s, 707.1m) -> GNB_6 (0.0395s, 707.1m)",0.0854,S
0.0000,8,"(1700.3,1504.6)",2.00,"PMU -> GNB_6 (0.0122s, 200.4m) -> TELCO (0.0358s, 707.1m) -> GNB_6 (0.0418s, 707.1m)",0.0898,S
0.0000,3,"(1700.5,1964.6)",2.00,"PMU -> GNB_6 (0.0078s, 506.0m) -> TELCO (0.0417s, 707.1m) -> GNB_6 (0.0412s, 707.1m)",0.0906,S
0.0000,19,"(1034.4,1680.2)",2.00,"PMU -> GNB_6 (0.0187s, 499.3m) -> TELCO (0.0386s, 707.1m) -> GNB_6 (0.0428s, 707.1m)",0.1001,L
0.0000,17,"(367.6,1416.0)",2.00,"PMU -> GNB_5 (0.0020s, 156.7m) -> TELCO (0.0370s, 707.1m) -> GNB_5 (0.0388s, 707.1m)",0.0778,S
0.0000,11,"(367.0,1707.8)",2.00,"PMU -> GNB_5 (0.0051s, 246.7m) -> TELCO (0.0334s, 707.1m) -> GNB_5 (0.0394s, 707.1m)",0.0779,S
0.0000,29,"(33.9,1429.9)",2.00,"PMU -> GNB_5 (0.0028s, 471.3m) -> TELCO (0.0386s, 707.1m) -> GNB_5 (0.0393s, 707.1m)",0.0808,S
0.0000,4,"(700.5,1633.2)",2.00,"PMU -> GNB_5 (0.0082s, 240.8m) -> TELCO (0.0360s, 707.1m) -> GNB_5 (0.0386s, 707.1m)",0.0828,S
0.0000,12,"(33.6,1775.4)",2.00,"PMU -> GNB_5 (0.0149s, 541.6m) -> TELCO (0.0380s, 707.1m) -> GNB_5 (0.0390s, 707.1m)",0.0918,S
0.0000,6,"(1700.2,440.2)",2.00,"PMU -> GNB_2 (0.0082s, 209.0m) -> TELCO (0.0394s, 707.1m) -> GNB_2 (0.0343s, 707.1m)",0.0819,S
0.0000,18,"(1700.8,283.9)",2.00,"PMU -> GNB_2 (0.0046s, 295.0m) -> TELCO (0.0390s, 707.1m) -> GNB_2 (0.0396s, 707.1m)",0.0832,S
0.0000,20,"(1367.7,548.2)",2.00,"PMU -> GNB_2 (0.0106s, 140.8m) -> TELCO (0.0368s, 707.1m) -> GNB_2 (0.0385s, 707.1m)",0.0858,S
0.0000,5,"(1033.7,372.4)",2.00,"PMU -> GNB_2 (0.0081s, 483.4m) -> TELCO (0.0402s, 707.1m) -> GNB_2 (0.0380s, 707.1m)",0.0863,S
0.0000,13,"(1366.8,114.9)",2.00,"PMU -> GNB_2 (0.0102s, 407.4m) -> TELCO (0.0396s, 707.1m) -> GNB_2 (0.0373s, 707.1m)",0.0871,S
0.0000,22,"(34.2,555.1)",2.00,"PMU -> GNB_1 (0.0038s, 469.1m) -> TELCO (0.0350s, 707.1m) -> GNB_1 (0.0398s, 707.1m)",0.0786,S
0.0000,10,"(700.2,311.5)",2.00,"PMU -> GNB_1 (0.0100s, 275.0m) -> TELCO (0.0369s, 707.1m) -> GNB_1 (0.0318s, 707.1m)",0.0787,S
0.0000,24,"(367.6,19.5)",2.00,"PMU -> GNB_1 (0.0064s, 498.4m) -> TELCO (0.0412s, 707.1m) -> GNB_1 (0.0347s, 707.1m)",0.0822,S
0.0000,7,"(700.4,636.8)",2.00,"PMU -> GNB_1 (0.0099s, 242.7m) -> TELCO (0.0326s, 707.1m) -> GNB_1 (0.0398s, 707.1m)",0.0824,S
0.0000,16,"(366.8,447.1)",2.00,"PMU -> GNB_1 (0.0175s, 143.3m) -> TELCO (0.0396s, 707.1m) -> GNB_1 (0.0384s, 707.1m)",0.0955,L
0.0000,14,"(33.4,182.8)",2.00,"PMU -> GNB_1 (0.0153s, 564.2m) -> TELCO (0.0407s, 707.1m) -> GNB_1 (0.0400s, 707.1m)",0.0961,L
0.0000,0,"(1367.3,1097.7)",2.00,"PMU -> GNB_4 (0.0070s, 164.8m) -> TELCO (0.0322s, 500.0m) -> GNB_4 (0.0376s, 500.0m)",0.0769,S
0.0000,27,"(1700.7,1023.0)",2.00,"PMU -> GNB_4 (0.0074s, 202.0m) -> TELCO (0.0336s, 500.0m) -> GNB_4 (0.0410s, 500.0m)",0.0820,S
0.0000,23,"(1034.2,751.7)",2.00,"PMU -> GNB_4 (0.0067s, 527.8m) -> TELCO (0.0391s, 500.0m) -> GNB_4 (0.0367s, 500.0m)",0.0824,S
0.0000,25,"(1034.1,1158.6)",2.00,"PMU -> GNB_4 (0.0086s, 492.2m) -> TELCO (0.0412s, 500.0m) -> GNB_4 (0.0333s, 500.0m)",0.0831,S
1.0000,26,"(700.7,1226.4)",2.00,"PMU -> GNB_3 (0.0000s, 302.6m) -> TELCO (0.0359s, 500.0m) -> GNB_3 (0.0331s, 500.0m)",0.0691,S
1.0000,2,"(700.5,968.9)",2.00,"PMU -> GNB_3 (0.0067s, 202.9m) -> TELCO (0.0402s, 500.0m) -> GNB_3 (0.0352s, 500.0m)",0.0820,S
1.0000,1,"(367.2,901.1)",2.00,"PMU -> GNB_3 (0.0123s, 165.6m) -> TELCO (0.0366s, 500.0m) -> GNB_3 (0.0333s, 500.0m)",0.0823,S
1.0000,9,"(33.6,1043.7)",2.00,"PMU -> GNB_3 (0.0194s, 468.4m) -> TELCO (0.0353s, 500.0m) -> GNB_3 (0.0400s, 500.0m)",0.0947,L
1.0000,28,"(1034.1,1490.8)",2.00,"PMU -> GNB_6 (0.0045s, 466.0m) -> TELCO (0.0387s, 707.1m) -> GNB_6 (0.0374s, 707.1m)",0.0805,S
1.0000,21,"(1367.5,1687.1)",2.00,"PMU -> GNB_6 (0.0082s, 229.3m) -> TELCO (0.0377s, 707.1m) -> GNB_6 (0.0377s, 707.1m)",0.0837,S
1.0000,15,"(1366.9,1579.3)",2.00,"PMU -> GNB_6 (0.0139s, 155.0m) -> TELCO (0.0392s, 707.1m) -> GNB_6 (0.0371s, 707.1m)",0.0902,S
1.0000,19,"(1034.4,1680.2)",2.00,"PMU -> GNB_6 (0.0126s, 499.3m) -> TELCO (0.0394s, 707.1m) -> GNB_6 (0.0393s, 707.1m)",0.0914,S
1.0000,8,"(1700.3,1504.6)",2.00,"PMU -> GNB_6 (0.0148s, 200.4m) -> TELCO (0.0382s, 707.1m) -> GNB_6 (0.0395s, 707.1m)",0.0925,S
1.0000,3,"(1700.5,1964.6)",2.00,"PMU -> GNB_6 (0.0218s, 506.0m) -> TELCO (0.0395s, 707.1m) -> GNB_6 (0.0366s, 707.1m)",0.0979,L
1.0000,11,"(367.0,1707.8)",2.00,"PMU -> GNB_5 (0.0098s, 246.7m) -> TELCO (0.0403s, 707.1m) -> GNB_5 (0.0287s, 707.1m)",0.0787,S
1.0000,29,"(33.9,1429.9)",2.00,"PMU -> GNB_5 (0.0048s, 471.3m) -> TELCO (0.0364s, 707.1m) -> GNB_5 (0.0397s, 707.1m)",0.0810,S
1.0000,17,"(367.6,1416.0)",2.00,"PMU -> GNB_5 (0.0066s, 156.7m) -> TELCO (0.0359s, 707.1m) -> GNB_5 (0.0402s, 707.1m)",0.0828,S
1.0000,12,"(33.6,1775.4)",2.00,"PMU -> GNB_5 (0.0065s, 541.6m) -> TELCO (0.0382s, 707.1m) -> GNB_5 (0.0388s, 707.1m)",0.0835,S
1.0000,4,"(700.5,1633.2)",2.00,"PMU -> GNB_5 (0.0095s, 240.8m) -> TELCO (0.0368s, 707.1m) -> GNB_5 (0.0409s, 707.1m)",0.0872,S
1.0000,20,"(1367.7,548.2)",2.00,"PMU -> GNB_2 (0.0029s, 140.8m) -> TELCO (0.0371s, 707.1m) -> GNB_2 (0.0338s, 707.1m)",0.0739,S
1.0000,6,"(1700.2,440.2)",2.00,"PMU -> GNB_2 (0.0027s, 209.0m) -> TELCO (0.0374s, 707.1m) -> GNB_2 (0.0363s, 707.1m)",0.0764,S
1.0000,18,"(1700.8,283.9)",2.00,"PMU -> GNB_2 (0.0069s, 295.0m) -> TELCO (0.0381s, 707.1m) -> GNB_2 (0.0398s, 707.1m)",0.0848,S
1.0000,5,"(1033.7,372.4)",2.00,"PMU -> GNB_2 (0.0149s, 483.4m) -> TELCO (0.0371s, 707.1m) -> GNB_2 (0.0361s, 707.1m)",0.0881,S
1.0000,13,"(1366.8,114.9)",2.00,"PMU -> GNB_2 (0.0099s, 407.4m) -> TELCO (0.0381s, 707.1m) -> GNB_2 (0.0412s, 707.1m)",0.0891,L
1.0000,24,"(367.6,19.5)",2.00,"PMU -> GNB_1 (0.0064s, 498.4m) -> TELCO (0.0356s, 707.1m) -> GNB_1 (0.0381s, 707.1m)",0.0802,S
1.0000,10,"(700.2,311.5)",2.00,"PMU -> GNB_1 (0.0014s, 275.0m) -> TELCO (0.0369s, 707.1m) -> GNB_1 (0.0421s, 707.1m)",0.0804,S
1.0000,14,"(33.4,182.8)",2.00,"PMU -> GNB_1 (0.0118s, 564.2m) -> TELCO (0.0340s, 707.1m) -> GNB_1 (0.0367s, 707.1m)",0.0825,S
1.0000,16,"(366.8,447.1)",2.00,"PMU -> GNB_1 (0.0112s, 143.3m) -> TELCO (0.0360s, 707.1m) -> GNB_1 (0.0406s, 707.1m)",0.0878,S
