Time,TaskID,GNBID,Window,Coverage,BatchType,InputDataKB,OutputDataKB,MaxLatency,ComputationMI,WaitTime,ExecTime,NetTime,TotalTime,Status,PDCWaitingTime,SuccessFlag
0.0192,10026,3,Window_0.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0910,S,0.0150,1
0.0192,10021,6,Window_0.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.1006,S,0.0150,1
0.0192,10017,5,Window_0.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0960,S,0.0140,1
0.0192,10006,2,Window_0.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0912,S,0.0051,1
0.0192,10022,1,Window_0.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0977,S,0.0150,1
0.0192,10030,4,Window_0.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0873,S,0.0062,1
1.0192,11116,3,Window_1.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0882,S,0.0150,1
1.0192,11118,6,Window_1.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0997,S,0.0150,1
1.0192,11101,5,Window_1.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0914,S,0.0085,1
1.0192,11110,2,Window_1.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0930,S,0.0150,1
1.0192,11114,1,Window_1.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0974,S,0.0130,1
1.0192,11115,4,Window_1.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0975,S,0.0140,1
2.0192,12181,3,Window_2.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0945,S,0.0150,1
2.0192,12183,6,Window_2.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0883,S,0.0050,1
2.0192,12197,5,Window_2.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0911,S,0.0150,1
2.0192,12193,2,Window_2.000,3/5,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0901,S,0.0150,1
2.0192,12190,1,Window_2.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0941,S,0.0147,1
2.0192,12210,4,Window_2.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0959,S,0.0105,1
3.0192,13272,3,Window_3.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0908,S,0.0146,1
3.0192,13291,6,Window_3.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0956,S,0.0150,1
3.0192,13287,5,Window_3.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0955,S,0.0150,1
3.0192,13276,2,Window_3.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0909,S,0.0128,1
3.0192,13286,1,Window_3.000,3/6,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0919,S,0.0150,1
3.0192,13293,4,Window_3.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0958,S,0.0150,1
4.0192,14361,3,Window_4.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.1004,S,0.0150,1
4.0192,14375,6,Window_4.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0922,S,0.0150,1
4.0192,14389,5,Window_4.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0911,S,0.0082,1
4.0192,14380,2,Window_4.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0912,S,0.0080,1
4.0192,14384,1,Window_4.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0921,S,0.0138,1
4.0192,14385,4,Window_4.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0879,S,0.0150,1
5.0192,15452,3,Window_5.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0944,S,0.0124,1
5.0192,15458,6,Window_5.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0943,S,0.0148,1
5.0192,15467,5,Window_5.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0919,S,0.0150,1
5.0192,15468,2,Window_5.000,3/5,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0901,S,0.0150,1
5.0192,15457,1,Window_5.000,4/6,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0980,S,0.0150,1
5.0192,15475,4,Window_5.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0972,S,0.0070,1
6.0192,16549,3,Window_6.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0948,S,0.0150,1
6.0192,16548,6,Window_6.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0948,S,0.0150,1
6.0192,16552,5,Window_6.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0972,S,0.0150,1
6.0192,16558,2,Window_6.000,3/5,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0960,S,0.0150,1
6.0192,16554,1,Window_6.000,3/6,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0923,S,0.0150,1
6.0192,16567,4,Window_6.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0906,S,0.0059,1
7.0192,17656,3,Window_7.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0963,S,0.0101,1
7.0192,17645,6,Window_7.000,3/6,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0910,S,0.0150,1
7.0192,17647,5,Window_7.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0956,S,0.0150,1
7.0192,17643,2,Window_7.000,5/5,COMPLETE,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0979,S,0.0135,1
7.0192,17646,1,Window_7.000,3/6,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0887,S,0.0150,1
7.0192,17653,4,Window_7.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0941,S,0.0150,1
8.0192,18721,3,Window_8.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0937,S,0.0068,1
8.0192,18748,6,Window_8.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0987,S,0.0150,1
8.0192,18749,5,Window_8.000,2/5,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0853,S,0.0150,1
8.0192,18738,2,Window_8.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0953,S,0.0150,1
8.0192,18727,1,Window_8.000,6/6,COMPLETE,12.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0906,S,0.0093,1
8.0192,18743,4,Window_8.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.1001,S,0.0136,1
9.0192,19811,3,Window_9.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0888,S,0.0150,1
9.0192,19838,6,Window_9.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0962,S,0.0150,1
9.0192,19814,5,Window_9.000,3/5,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0918,S,0.0150,1
9.0192,19828,2,Window_9.000,2/5,TIMEOUT,4.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0930,S,0.0150,1
9.0192,19817,1,Window_9.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0987,S,0.0150,1
9.0192,19837,4,Window_9.000,4/4,COMPLETE,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0914,S,0.0092,1
10.0192,20902,3,Window_10.000,3/4,TIMEOUT,6.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0937,S,0.0150,1
10.0192,20903,6,Window_10.000,5/6,TIMEOUT,10.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0928,S,0.0150,1
10.0192,20929,5,Window_10.000,4/5,TIMEOUT,8.00,50.00,2.00,1000,0.0000,0.0042,0.0000,0.0986,S,0.0150,1
