Time,PmuID,PmuCoordinates,DataSize,Path,HopSum,Status
0.0000,9,"(33.6,1043.7)",2.00,"PMU -> GNB_3 (0.0050s, 468.4m) -> TELCO (0.0325s, 500.0m) -> GNB_3 (0.0336s, 500.0m)",0.0711,S
0.0000,26,"(700.7,1226.4)",2.00,"PMU -> GNB_3 (0.0050s, 302.6m) -> TELCO (0.0378s, 500.0m) -> GNB_3 (0.0354s, 500.0m)",0.0783,S
0.0000,1,"(367.2,901.1)",2.00,"PMU -> GNB_3 (0.0071s, 165.6m) -> TELCO (0.0433s, 500.0m) -> GNB_3 (0.0376s, 500.0m)",0.0879,L
0.0000,2,"(700.5,968.9)",2.00,"PMU -> GNB_3 (0.0043s, 202.9m) -> TELCO (0.0411s, 500.0m) -> GNB_3 (0.0441s, 500.0m)",0.0896,L
0.0000,8,"(1700.3,1504.6)",2.00,"PMU -> GNB_6 (0.0016s, 200.4m) -> TELCO (0.0339s, 707.1m) -> GNB_6 (0.0355s, 707.1m)",0.0710,S
0.0000,19,"(1034.4,1680.2)",2.00,"PMU -> GNB_6 (0.0027s, 499.3m) -> TELCO (0.0363s, 707.1m) -> GNB_6 (0.0322s, 707.1m)",0.0713,S
0.0000,28,"(1034.1,1490.8)",2.00,"PMU -> GNB_6 (0.0088s, 466.0m) -> TELCO (0.0344s, 707.1m) -> GNB_6 (0.0361s, 707.1m)",0.0792,S
0.0000,3,"(1700.5,1964.6)",2.00,"PMU -> GNB_6 (0.0079s, 506.0m) -> TELCO (0.0384s, 707.1m) -> GNB_6 (0.0364s, 707.1m)",0.0827,S
0.0000,21,"(1367.5,1687.1)",2.00,"PMU -> GNB_6 (0.0121s, 229.3m) -> TELCO (0.0377s, 707.1m) -> GNB_6 (0.0395s, 707.1m)",0.0893,L
0.0000,15,"(1366.9,1579.3)",2.00,"PMU -> GNB_6 (0.0126s, 155.0m) -> TELCO (0.0350s, 707.1m) -> GNB_6 (0.0429s, 707.1m)",0.0904,L
0.0000,12,"(33.6,1775.4)",2.00,"PMU -> GNB_5 (0.0102s, 541.6m) -> TELCO (0.0337s, 707.1m) -> GNB_5 (0.0359s, 707.1m)",0.0798,S
0.0000,29,"(33.9,1429.9)",2.00,"PMU -> GNB_5 (0.0031s, 471.3m) -> TELCO (0.0387s, 707.1m) -> GNB_5 (0.0401s, 707.1m)",0.0819,S
0.0000,11,"(367.0,1707.8)",2.00,"PMU -> GNB_5 (0.0040s, 246.7m) -> TELCO (0.0406s, 707.1m) -> GNB_5 (0.0391s, 707.1m)",0.0836,S
0.0000,4,"(700.5,1633.2)",2.00,"PMU -> GNB_5 (0.0171s, 240.8m) -> TELCO (0.0356s, 707.1m) -> GNB_5 (0.0375s, 707.1m)",0.0902,S
0.0000,17,"(367.6,1416.0)",2.00,"PMU -> GNB_5 (0.0054s, 156.7m) -> TELCO (0.0423s, 707.1m) -> GNB_5 (0.0427s, 707.1m)",0.0905,S
0.0000,6,"(1700.2,440.2)",2.00,"PMU -> GNB_2 (0.0038s, 209.0m) -> TELCO (0.0357s, 707.1m) -> GNB_2 (0.0392s, 707.1m)",0.0787,S
0.0000,5,"(1033.7,372.4)",2.00,"PMU -> GNB_2 (0.0046s, 483.4m) -> TELCO (0.0385s, 707.1m) -> GNB_2 (0.0364s, 707.1m)",0.0796,S
0.0000,18,"(1700.8,283.9)",2.00,"PMU -> GNB_2 (0.0085s, 295.0m) -> TELCO (0.0363s, 707.1m) -> GNB_2 (0.0352s, 707.1m)",0.0799,S
0.0000,13,"(1366.8,114.9)",2.00,"PMU -> GNB_2 (0.0147s, 407.4m) -> TELCO (0.0344s, 707.1m) -> GNB_2 (0.0388s, 707.1m)",0.0879,S
0.0000,20,"(1367.7,548.2)",2.00,"PMU -> GNB_2 (0.0115s, 140.8m) -> TELCO (0.0393s, 707.1m) -> GNB_2 (0.0410s, 707.1m)",0.0918,S
0.0000,22,"(34.2,555.1)",2.00,"PMU -> GNB_1 (0.0062s, 469.1m) -> TELCO (0.0403s, 707.1m) -> GNB_1 (0.0356s, 707.1m)",0.0821,S
0.0000,10,"(700.2,311.5)",2.00,"PMU -> GNB_1 (0.0124s, 275.0m) -> TELCO (0.0341s, 707.1m) -> GNB_1 (0.0382s, 707.1m)",0.0847,S
0.0000,16,"(366.8,447.1)",2.00,"PMU -> GNB_1 (0.0082s, 143.3m) -> TELCO (0.0382s, 707.1m) -> GNB_1 (0.0391s, 707.1m)",0.0856,S
0.0000,14,"(33.4,182.8)",2.00,"PMU -> GNB_1 (0.0158s, 564.2m) -> TELCO (0.0341s, 707.1m) -> GNB_1 (0.0391s, 707.1m)",0.0890,S
0.0000,7,"(700.4,636.8)",2.00,"PMU -> GNB_1 (0.0082s, 242.7m) -> TELCO (0.0420s, 707.1m) -> GNB_1 (0.0413s, 707.1m)",0.0915,S
0.0000,24,"(367.6,19.5)",2.00,"PMU -> GNB_1 (0.0172s, 498.4m) -> TELCO (0.0393s, 707.1m) -> GNB_1 (0.0365s, 707.1m)",0.0930,S
0.0000,25,"(1034.1,1158.6)",2.00,"PMU -> GNB_4 (0.0081s, 492.2m) -> TELCO (0.0336s, 500.0m) -> GNB_4 (0.0382s, 500.0m)",0.0799,S
0.0000,27,"(1700.7,1023.0)",2.00,"PMU -> GNB_4 (0.0105s, 202.0m) -> TELCO (0.0380s, 500.0m) -> GNB_4 (0.0373s, 500.0m)",0.0858,S
0.0000,0,"(1367.3,1097.7)",2.00,"PMU -> GNB_4 (0.0111s, 164.8m) -> TELCO (0.0383s, 500.0m) -> GNB_4 (0.0431s, 500.0m)",0.0925,S
0.0000,23,"(1034.2,751.7)",2.00,"PMU -> GNB_4 (0.0199s, 527.8m) -> TELCO (0.0388s, 500.0m) -> GNB_4 (0.0403s, 500.0m)",0.0991,L
1.0000,26,"(700.7,1226.4)",2.00,"PMU -> GNB_3 (0.0066s, 302.6m) -> TELCO (0.0351s, 500.0m) -> GNB_3 (0.0353s, 500.0m)",0.0771,S
1.0000,1,"(367.2,901.1)",2.00,"PMU -> GNB_3 (0.0040s, 165.6m) -> TELCO (0.0347s, 500.0m) -> GNB_3 (0.0403s, 500.0m)",0.0791,S
1.0000,2,"(700.5,968.9)",2.00,"PMU -> GNB_3 (0.0078s, 202.9m) -> TELCO (0.0364s, 500.0m) -> GNB_3 (0.0359s, 500.0m)",0.0801,S
1.0000,9,"(33.6,1043.7)",2.00,"PMU -> GNB_3 (0.0125s, 468.4m) -> TELCO (0.0355s, 500.0m) -> GNB_3 (0.0359s, 500.0m)",0.0839,S
1.0000,3,"(1700.5,1964.6)",2.00,"PMU -> GNB_6 (0.0036s, 506.0m) -> TELCO (0.0350s, 707.1m) -> GNB_6 (0.0404s, 707.1m)",0.0790,S
1.0000,28,"(1034.1,1490.8)",2.00,"PMU -> GNB_6 (0.0078s, 466.0m) -> TELCO (0.0398s, 707.1m) -> GNB_6 (0.0329s, 707.1m)",0.0805,S
